selection_index	record_id	record_index	species_rank	species_code	chr	start	end	sequence_length	label_length
0	test_line_000000	0	0	mouse	chrX	3051520	3055616	4096	4096
1	test_line_000001	1	1	mouse	chrX	3055616	3059712	4096	4096
2	test_line_000002	2	2	mouse	chrX	3059712	3063808	4096	4096
3	test_line_000003	3	3	mouse	chrX	3063808	3067904	4096	4096
4	test_line_000004	4	4	mouse	chrX	3067904	3072000	4096	4096
5	test_line_000005	5	5	mouse	chrX	3072000	3076096	4096	4096
6	test_line_000006	6	6	mouse	chrX	3076096	3080192	4096	4096
7	test_line_000007	7	7	mouse	chrX	3080192	3084288	4096	4096
8	test_line_000008	8	8	mouse	chrX	3137536	3141632	4096	4096
9	test_line_000009	9	9	mouse	chrX	3141632	3145728	4096	4096
10	test_line_000010	10	10	mouse	chrX	3145728	3149824	4096	4096
11	test_line_000011	11	11	mouse	chrX	3149824	3153920	4096	4096
12	test_line_000012	12	12	mouse	chrX	3153920	3158016	4096	4096
13	test_line_000013	13	13	mouse	chrX	3158016	3162112	4096	4096
14	test_line_000014	14	14	mouse	chrX	3162112	3166208	4096	4096
15	test_line_000015	15	15	mouse	chrX	3166208	3170304	4096	4096
16	test_line_000016	16	16	mouse	chrX	3170304	3174400	4096	4096
17	test_line_000017	17	17	mouse	chrX	3174400	3178496	4096	4096
18	test_line_000018	18	18	mouse	chrX	3178496	3182592	4096	4096
19	test_line_000019	19	19	mouse	chrX	3182592	3186688	4096	4096
20	test_line_000020	20	20	mouse	chrX	3186688	3190784	4096	4096
21	test_line_000021	21	21	mouse	chrX	3190784	3194880	4096	4096
22	test_line_000022	22	22	mouse	chrX	3194880	3198976	4096	4096
23	test_line_000023	23	23	mouse	chrX	3198976	3203072	4096	4096
24	test_line_000024	24	24	mouse	chrX	3203072	3207168	4096	4096
25	test_line_000025	25	25	mouse	chrX	3207168	3211264	4096	4096
26	test_line_000026	26	26	mouse	chrX	3211264	3215360	4096	4096
27	test_line_000027	27	27	mouse	chrX	3215360	3219456	4096	4096
28	test_line_000028	28	28	mouse	chrX	3219456	3223552	4096	4096
29	test_line_000029	29	29	mouse	chrX	3223552	3227648	4096	4096
30	test_line_000030	30	30	mouse	chrX	3227648	3231744	4096	4096
31	test_line_000031	31	31	mouse	chrX	3231744	3235840	4096	4096
32	test_line_000032	32	32	mouse	chrX	3235840	3239936	4096	4096
33	test_line_000033	33	33	mouse	chrX	3239936	3244032	4096	4096
34	test_line_000034	34	34	mouse	chrX	3244032	3248128	4096	4096
35	test_line_000035	35	35	mouse	chrX	3248128	3252224	4096	4096
36	test_line_000036	36	36	mouse	chrX	3252224	3256320	4096	4096
37	test_line_000037	37	37	mouse	chrX	3256320	3260416	4096	4096
38	test_line_000038	38	38	mouse	chrX	3260416	3264512	4096	4096
39	test_line_000039	39	39	mouse	chrX	3264512	3268608	4096	4096
40	test_line_000040	40	40	mouse	chrX	3268608	3272704	4096	4096
41	test_line_000041	41	41	mouse	chrX	3272704	3276800	4096	4096
42	test_line_000042	42	42	mouse	chrX	3276800	3280896	4096	4096
43	test_line_000043	43	43	mouse	chrX	3280896	3284992	4096	4096
44	test_line_000044	44	44	mouse	chrX	3284992	3289088	4096	4096
45	test_line_000045	45	45	mouse	chrX	3289088	3293184	4096	4096
46	test_line_000046	46	46	mouse	chrX	3293184	3297280	4096	4096
47	test_line_000047	47	47	mouse	chrX	3297280	3301376	4096	4096
48	test_line_000048	48	48	mouse	chrX	3301376	3305472	4096	4096
49	test_line_000049	49	49	mouse	chrX	3305472	3309568	4096	4096
50	test_line_000050	50	50	mouse	chrX	3309568	3313664	4096	4096
51	test_line_000051	51	51	mouse	chrX	3313664	3317760	4096	4096
52	test_line_000052	52	52	mouse	chrX	3317760	3321856	4096	4096
53	test_line_000053	53	53	mouse	chrX	3321856	3325952	4096	4096
54	test_line_000054	54	54	mouse	chrX	3325952	3330048	4096	4096
55	test_line_000055	55	55	mouse	chrX	3330048	3334144	4096	4096
56	test_line_000056	56	56	mouse	chrX	3334144	3338240	4096	4096
57	test_line_000057	57	57	mouse	chrX	3338240	3342336	4096	4096
58	test_line_000058	58	58	mouse	chrX	3342336	3346432	4096	4096
59	test_line_000059	59	59	mouse	chrX	3346432	3350528	4096	4096
60	test_line_000060	60	60	mouse	chrX	3350528	3354624	4096	4096
61	test_line_000061	61	61	mouse	chrX	3354624	3358720	4096	4096
62	test_line_000062	62	62	mouse	chrX	3358720	3362816	4096	4096
63	test_line_000063	63	63	mouse	chrX	3362816	3366912	4096	4096
64	test_line_000064	64	64	mouse	chrX	3366912	3371008	4096	4096
65	test_line_000065	65	65	mouse	chrX	3371008	3375104	4096	4096
66	test_line_000066	66	66	mouse	chrX	3375104	3379200	4096	4096
67	test_line_000067	67	67	mouse	chrX	3379200	3383296	4096	4096
68	test_line_000068	68	68	mouse	chrX	3383296	3387392	4096	4096
69	test_line_000069	69	69	mouse	chrX	3387392	3391488	4096	4096
70	test_line_000070	70	70	mouse	chrX	3391488	3395584	4096	4096
71	test_line_000071	71	71	mouse	chrX	3395584	3399680	4096	4096
72	test_line_000072	72	72	mouse	chrX	3399680	3403776	4096	4096
73	test_line_000073	73	73	mouse	chrX	3403776	3407872	4096	4096
74	test_line_000074	74	74	mouse	chrX	3407872	3411968	4096	4096
75	test_line_000075	75	75	mouse	chrX	3411968	3416064	4096	4096
76	test_line_000076	76	76	mouse	chrX	3416064	3420160	4096	4096
77	test_line_000077	77	77	mouse	chrX	3420160	3424256	4096	4096
78	test_line_000078	78	78	mouse	chrX	3424256	3428352	4096	4096
79	test_line_000079	79	79	mouse	chrX	3428352	3432448	4096	4096
80	test_line_000080	80	80	mouse	chrX	3432448	3436544	4096	4096
81	test_line_000081	81	81	mouse	chrX	3436544	3440640	4096	4096
82	test_line_000082	82	82	mouse	chrX	3440640	3444736	4096	4096
83	test_line_000083	83	83	mouse	chrX	3444736	3448832	4096	4096
84	test_line_000084	84	84	mouse	chrX	3448832	3452928	4096	4096
85	test_line_000085	85	85	mouse	chrX	3452928	3457024	4096	4096
86	test_line_000086	86	86	mouse	chrX	3457024	3461120	4096	4096
87	test_line_000087	87	87	mouse	chrX	3461120	3465216	4096	4096
88	test_line_000088	88	88	mouse	chrX	3465216	3469312	4096	4096
89	test_line_000089	89	89	mouse	chrX	3469312	3473408	4096	4096
90	test_line_000090	90	90	mouse	chrX	3473408	3477504	4096	4096
91	test_line_000091	91	91	mouse	chrX	3477504	3481600	4096	4096
92	test_line_000092	92	92	mouse	chrX	3481600	3485696	4096	4096
93	test_line_000093	93	93	mouse	chrX	3485696	3489792	4096	4096
94	test_line_000094	94	94	mouse	chrX	3489792	3493888	4096	4096
95	test_line_000095	95	95	mouse	chrX	3493888	3497984	4096	4096
96	test_line_000096	96	96	mouse	chrX	3497984	3502080	4096	4096
97	test_line_000097	97	97	mouse	chrX	3502080	3506176	4096	4096
98	test_line_000098	98	98	mouse	chrX	3506176	3510272	4096	4096
99	test_line_000099	99	99	mouse	chrX	3563520	3567616	4096	4096
100	test_line_000100	100	100	mouse	chrX	3567616	3571712	4096	4096
101	test_line_000101	101	101	mouse	chrX	3571712	3575808	4096	4096
102	test_line_000102	102	102	mouse	chrX	3575808	3579904	4096	4096
103	test_line_000103	103	103	mouse	chrX	3579904	3584000	4096	4096
104	test_line_000104	104	104	mouse	chrX	3584000	3588096	4096	4096
105	test_line_000105	105	105	mouse	chrX	3588096	3592192	4096	4096
106	test_line_000106	106	106	mouse	chrX	3592192	3596288	4096	4096
107	test_line_000107	107	107	mouse	chrX	3596288	3600384	4096	4096
108	test_line_000108	108	108	mouse	chrX	3600384	3604480	4096	4096
109	test_line_000109	109	109	mouse	chrX	3604480	3608576	4096	4096
110	test_line_000110	110	110	mouse	chrX	3608576	3612672	4096	4096
111	test_line_000111	111	111	mouse	chrX	3612672	3616768	4096	4096
112	test_line_000112	112	112	mouse	chrX	3616768	3620864	4096	4096
113	test_line_000113	113	113	mouse	chrX	3620864	3624960	4096	4096
114	test_line_000114	114	114	mouse	chrX	3624960	3629056	4096	4096
115	test_line_000115	115	115	mouse	chrX	3629056	3633152	4096	4096
116	test_line_000116	116	116	mouse	chrX	3633152	3637248	4096	4096
117	test_line_000117	117	117	mouse	chrX	3637248	3641344	4096	4096
118	test_line_000118	118	118	mouse	chrX	3641344	3645440	4096	4096
119	test_line_000119	119	119	mouse	chrX	3645440	3649536	4096	4096
120	test_line_000360	360	0	zebrafish	chr5	0	4096	4096	4096
121	test_line_000361	361	1	zebrafish	chr5	4096	8192	4096	4096
122	test_line_000362	362	2	zebrafish	chr5	8192	12288	4096	4096
123	test_line_000363	363	3	zebrafish	chr5	12288	16384	4096	4096
124	test_line_000364	364	4	zebrafish	chr5	16384	20480	4096	4096
125	test_line_000365	365	5	zebrafish	chr5	20480	24576	4096	4096
126	test_line_000366	366	6	zebrafish	chr5	24576	28672	4096	4096
127	test_line_000367	367	7	zebrafish	chr5	28672	32768	4096	4096
128	test_line_000368	368	8	zebrafish	chr5	32768	36864	4096	4096
129	test_line_000369	369	9	zebrafish	chr5	36864	40960	4096	4096
130	test_line_000370	370	10	zebrafish	chr5	40960	45056	4096	4096
131	test_line_000371	371	11	zebrafish	chr5	45056	49152	4096	4096
132	test_line_000372	372	12	zebrafish	chr5	49152	53248	4096	4096
133	test_line_000373	373	13	zebrafish	chr5	53248	57344	4096	4096
134	test_line_000374	374	14	zebrafish	chr5	57344	61440	4096	4096
135	test_line_000375	375	15	zebrafish	chr5	61440	65536	4096	4096
136	test_line_000376	376	16	zebrafish	chr5	65536	69632	4096	4096
137	test_line_000377	377	17	zebrafish	chr5	69632	73728	4096	4096
138	test_line_000378	378	18	zebrafish	chr5	73728	77824	4096	4096
139	test_line_000379	379	19	zebrafish	chr5	77824	81920	4096	4096
140	test_line_000380	380	20	zebrafish	chr5	81920	86016	4096	4096
141	test_line_000381	381	21	zebrafish	chr5	86016	90112	4096	4096
142	test_line_000382	382	22	zebrafish	chr5	90112	94208	4096	4096
143	test_line_000383	383	23	zebrafish	chr5	94208	98304	4096	4096
144	test_line_000384	384	24	zebrafish	chr5	98304	102400	4096	4096
145	test_line_000385	385	25	zebrafish	chr5	102400	106496	4096	4096
146	test_line_000386	386	26	zebrafish	chr5	106496	110592	4096	4096
147	test_line_000387	387	27	zebrafish	chr5	110592	114688	4096	4096
148	test_line_000388	388	28	zebrafish	chr5	114688	118784	4096	4096
149	test_line_000389	389	29	zebrafish	chr5	118784	122880	4096	4096
