idx	species	label	label_name	cluster	source	rep_name
0	zebrafish	3	DNA	4	genomic_internal	TDR8D
1	maize	2	Copia	0	genomic_internal	chr9_P_79032327
2	mouse	4	ERVK	1	genomic_internal	RMER6C
3	mouse	4	ERVK	3	genomic_internal	MLTR18_MM
4	western_clawed_frog	1	CR1	7	genomic_internal	CR1-2_XT
5	mouse	4	ERVK	3	genomic_internal	ETnERV-int
6	mouse	6	L1	3	genomic_internal	Lx5
7	zebrafish	3	DNA	1	genomic_internal	DNA-X-4_DR
8	zebrafish	3	DNA	2	genomic_internal	HATN9_DR
9	mouse	4	ERVK	3	genomic_internal	ERVB4_1B-I_MM
10	maize	8	unknown	4	genomic_internal	uwum_AC190887_2701
11	rice	7	LTRs	2	genomic_internal	RLG_58811:mipsREdat_9.3p_ALL
12	mouse	4	ERVK	2	genomic_internal	IAPEz-int
13	maize	8	unknown	2	genomic_internal	opie_AC210610_10772
14	maize	8	unknown	3	genomic_internal	TE_00018209_LTR
15	zebrafish	3	DNA	4	genomic_internal	DNA2-2_DR
16	sorghum	5	Gypsy	0	genomic_internal	Gypsy-34_SB-I
17	mouse	6	L1	5	genomic_internal	L1M2
18	maize	8	unknown	4	genomic_internal	TE_00000410_LTR
19	maize	2	Copia	0	genomic_internal	ji_AC193479_3665
20	sorghum	5	Gypsy	2	genomic_internal	Gypsy-120_SB-LTR
21	rice	7	LTRs	0	genomic_internal	Os0264_LTR:rice6.9.5.liban
22	mouse	4	ERVK	3	genomic_internal	ETnERV2-int
23	chicken	1	CR1	2	genomic_internal	CR1-G
24	maize	5	Gypsy	3	genomic_internal	prem1_AC196065_4927
25	chicken	1	CR1	6	genomic_internal	CR1-C
26	zebrafish	3	DNA	3	genomic_internal	DNA-8-3_DR
27	rice	7	LTRs	0	genomic_internal	LTR_Os_chr_08_1599 (02.01.01.99)
28	maize	2	Copia	2	genomic_internal	chr9_D_32444039
29	maize	2	Copia	2	genomic_internal	ebel_AC213044_12072
30	mouse	6	L1	5	genomic_internal	L1MdFanc_I
31	maize	8	unknown	4	genomic_internal	opie_AC210610_10772
32	mouse	4	ERVK	2	genomic_internal	IAPEy-int
33	chicken	1	CR1	6	genomic_internal	CR1-F
34	maize	2	Copia	0	genomic_internal	chr9_D_32444039
35	mouse	4	ERVK	3	genomic_internal	RLTR13C2
36	thale_cress	7	LTRs	0	genomic_internal	LTR_Al_scaffold_0006_1030 (02.01.01.99)
37	sorghum	5	Gypsy	7	genomic_internal	Gypsy5-SB_I-int
38	maize	8	unknown	2	genomic_internal	chr6:107486922..107497259
39	rice	7	LTRs	2	genomic_internal	LTR_Os_chr_04_801 (02.01.01.99)
40	zebrafish	3	DNA	3	genomic_internal	DNA-2-1_DR
41	sorghum	5	Gypsy	3	genomic_internal	Gypsy-140_SBi-I
42	rice	7	LTRs	4	genomic_internal	RLG_58888:mipsREdat_9.3p_ALL
43	sorghum	5	Gypsy	2	genomic_internal	RETROSOR1_SB-int
44	sorghum	5	Gypsy	0	genomic_internal	RETROSOR1_SB-int
45	western_clawed_frog	1	CR1	7	genomic_internal	CR1-2_XT
46	mouse	4	ERVK	5	genomic_internal	MMERVK10C-int
47	western_clawed_frog	5	Gypsy	3	genomic_internal	Gypsy-10-LTR_XT
48	mouse	4	ERVK	2	genomic_internal	IAPEz-int
49	zebrafish	3	DNA	4	genomic_internal	DNAX-10_DR
50	maize	2	Copia	0	genomic_internal	ji_AC211489_11215
51	zebrafish	3	DNA	2	genomic_internal	TDR13
52	thale_cress	7	LTRs	2	genomic_internal	huck-at1 (02.01.01.10.07)
53	mouse	4	ERVK	2	genomic_internal	RMER19C
54	chicken	1	CR1	2	genomic_internal	CR1-G
55	sorghum	5	Gypsy	3	genomic_internal	Gypsy-131_SBi-LTR
56	chicken	1	CR1	7	genomic_internal	CR1-Y2
57	mouse	6	L1	5	genomic_internal	L1MdA_I
58	mouse	6	L1	5	genomic_internal	L1_Rod
59	zebrafish	3	DNA	1	genomic_internal	DNA-1-4_DR
60	sorghum	5	Gypsy	0	genomic_internal	Gypsy-131_SBi-LTR
61	maize	8	unknown	0	genomic_internal	iwik_AC203371_7824
62	sorghum	5	Gypsy	3	genomic_internal	Gypsy-66_SB-LTR
63	mouse	6	L1	5	genomic_internal	L1MdFanc_I
64	mouse	6	L1	5	genomic_internal	L1_Mur1
65	maize	5	Gypsy	0	genomic_internal	guhis_AC198413_5999
66	mouse	4	ERVK	3	genomic_internal	ETnERV-int
67	mouse	4	ERVK	3	genomic_internal	RMER13B
68	mouse	6	L1	5	genomic_internal	Lx9
69	mouse	4	ERVK	3	genomic_internal	ETnERV2-int
70	mouse	4	ERVK	1	genomic_internal	ETnERV2-int
71	maize	5	Gypsy	2	genomic_internal	mada_AC208456_9876
72	maize	5	Gypsy	3	genomic_internal	flip_AC214266_12595
73	maize	8	unknown	2	genomic_internal	TE_00006182_LTR
74	mouse	4	ERVK	3	genomic_internal	RMER12C
75	rice	7	LTRs	2	genomic_internal	RLX_58868:mipsREdat_9.3p_ALL
76	western_clawed_frog	1	CR1	6	genomic_internal	CR1_1a_Xt
77	sorghum	5	Gypsy	2	genomic_internal	Gypsy2-SB_I-int
78	thale_cress	7	LTRs	0	genomic_internal	huck-at1 (02.01.01.10.07)
79	mouse	6	L1	5	genomic_internal	L1MdF_V
80	chicken	1	CR1	6	genomic_internal	CR1-Y2_Aves
81	maize	2	Copia	7	genomic_internal	gunu_AC209758_10359
82	maize	6	L1	5	genomic_internal	RIL_koajav_AC205853_0
83	maize	2	Copia	0	genomic_internal	ji_AC211489_11215
84	maize	8	unknown	1	genomic_internal	chr6:107486922..107497259
85	zebrafish	3	DNA	1	genomic_internal	TDR13
86	chicken	1	CR1	6	genomic_internal	CR1-C
87	maize	8	unknown	5	genomic_internal	iwik_AC203371_7824
88	maize	5	Gypsy	2	genomic_internal	flip_AC208040_9765
89	zebrafish	3	DNA	4	genomic_internal	TDR22
90	maize	6	L1	0	genomic_internal	RIL_koajav_AC205853_0
91	sorghum	5	Gypsy	0	genomic_internal	Gypsy-141_SBi-I
92	zebrafish	3	DNA	4	genomic_internal	DNA-1-4_DR
93	chicken	1	CR1	7	genomic_internal	CR1-F
94	chicken	1	CR1	7	genomic_internal	CR1-G
95	maize	2	Copia	3	genomic_internal	opie_AC185480_1137
96	maize	8	unknown	2	genomic_internal	TE_00026360_LTR
97	zebrafish	5	Gypsy	2	genomic_internal	Gypsy106-I_DR
98	western_clawed_frog	1	CR1	6	genomic_internal	CR1_1b_Xt
99	chicken	1	CR1	2	genomic_internal	CR1-G
100	maize	8	unknown	0	genomic_internal	uwum_AC190887_2701
101	mouse	4	ERVK	1	genomic_internal	MYSERV-int
102	maize	6	L1	5	genomic_internal	RIL_koajav_AC205853_0
103	maize	8	unknown	2	genomic_internal	chr5:225421842..225423846
104	mouse	4	ERVK	3	genomic_internal	RMER12
105	mouse	4	ERVK	1	genomic_internal	RMER12C
106	mouse	6	L1	5	genomic_internal	L1Lx_I
107	zebrafish	3	DNA	3	genomic_internal	TDR13B
108	zebrafish	3	DNA	4	genomic_internal	TDR22
109	chicken	1	CR1	6	genomic_internal	CR1-Y4
110	mouse	4	ERVK	3	genomic_internal	RMER17B2
111	maize	8	unknown	2	genomic_internal	prem1_AC206253_9147
112	maize	2	Copia	0	genomic_internal	chr6_P_87978263
113	maize	2	Copia	0	genomic_internal	opie_AC197201_5474
114	western_clawed_frog	1	CR1	7	genomic_internal	CR1_1a_Xt
115	thale_cress	7	LTRs	2	genomic_internal	huck-at1 (02.01.01.10.07)
116	sorghum	2	Copia	2	genomic_internal	Copia-34_SB-I
117	mouse	6	L1	5	genomic_internal	Lx
118	chicken	1	CR1	7	genomic_internal	CR1-C4
119	mouse	6	L1	5	genomic_internal	Lx6
120	mouse	6	L1	5	genomic_internal	L1MdF_V
121	mouse	6	L1	5	genomic_internal	Lx4A
122	mouse	4	ERVK	3	genomic_internal	RMER17D
123	chicken	1	CR1	7	genomic_internal	CR1-F
124	mouse	6	L1	5	genomic_internal	L1MdV_III
125	maize	8	unknown	0	genomic_internal	odoj_AC194387_4072
126	chicken	1	CR1	7	genomic_internal	CR1-C4
127	mouse	4	ERVK	3	genomic_internal	ETnERV-int
128	maize	8	unknown	2	genomic_internal	uwum_AC177933_415
129	rice	7	LTRs	2	genomic_internal	RLG_59632:mipsREdat_9.3p_ALL
130	maize	2	Copia	2	genomic_internal	opie_AC214122_12495
131	rice	7	LTRs	2	genomic_internal	Os0264_LTR:rice6.9.5.liban
132	maize	2	Copia	2	genomic_internal	chr4_P_242404877
133	mouse	4	ERVK	3	genomic_internal	IAPEY3-int
134	chicken	1	CR1	6	genomic_internal	CR1-C3
135	mouse	4	ERVK	0	genomic_internal	IAPEz-int
136	maize	8	unknown	4	genomic_internal	uwum_AC190887_2701
137	western_clawed_frog	1	CR1	6	genomic_internal	CR1-2_XT
138	maize	2	Copia	2	genomic_internal	opie_AC188002_2029
139	mouse	4	ERVK	3	genomic_internal	MYSERV-int
140	chicken	1	CR1	7	genomic_internal	CR1-D
141	western_clawed_frog	1	CR1	7	genomic_internal	CR1-2_XT
142	mouse	4	ERVK	3	genomic_internal	IAPEY3-int
143	mouse	4	ERVK	5	genomic_internal	IAPEz-int
144	rice	7	LTRs	0	genomic_internal	RC/19
145	zebrafish	3	DNA	4	genomic_internal	DNAX-1_DR
146	zebrafish	3	DNA	4	genomic_internal	DNA8-3_DR
147	western_clawed_frog	1	CR1	6	genomic_internal	CR1_1a_Xt
148	rice	7	LTRs	3	genomic_internal	RLX_60490:mipsREdat_9.3p_ALL
149	maize	8	unknown	3	genomic_internal	vegu_AC190718_85
150	mouse	4	ERVK	4	genomic_internal	IAPEY3-int
151	western_clawed_frog	1	CR1	1	genomic_internal	CR1-2_XT
152	mouse	1	CR1	1	genomic_internal	L3
153	mouse	6	L1	3	genomic_internal	Lx5c
154	maize	2	Copia	0	genomic_internal	chr6_P_87978263
155	rice	7	LTRs	2	genomic_internal	RLG_58811:mipsREdat_9.3p_ALL
156	mouse	6	L1	3	genomic_internal	Lx9
157	mouse	6	L1	5	genomic_internal	Lx
158	mouse	6	L1	5	genomic_internal	L1MdMus_II
159	zebrafish	3	DNA	4	genomic_internal	DNA-8-3_DR
160	zebrafish	3	DNA	4	genomic_internal	DNA-X-11_DR
161	maize	2	Copia	2	genomic_internal	ruda_AC202870_7495
162	mouse	4	ERVK	3	genomic_internal	RMER17C-int
163	mouse	6	L1	5	genomic_internal	L1MdA_II
164	maize	8	unknown	2	genomic_internal	TE_00006182_LTR
165	maize	8	unknown	2	genomic_internal	chr1:85619267..85627158
166	maize	8	unknown	4	genomic_internal	milt_AC209648_10275
167	zebrafish	3	DNA	4	genomic_internal	DNA9NNN1_DR
168	western_clawed_frog	1	CR1	1	genomic_internal	CR1-2_XT
169	maize	2	Copia	2	genomic_internal	chr4_P_103002213
170	maize	8	unknown	0	genomic_internal	chr6:107486922..107497259
171	maize	8	unknown	2	genomic_internal	TE_00006029_LTR
172	mouse	4	ERVK	1	genomic_internal	RMER17A-int
173	zebrafish	6	L1	7	genomic_internal	L1-14_DR
174	maize	8	unknown	5	genomic_internal	iwik_AC203371_7824
175	mouse	4	ERVK	2	genomic_internal	RMER17A2
