idx	species	label	label_name	cluster	rep_name
0	zebrafish	1	SINE	2	SINE3-1
1	mouse	4	DNA	0	RCHARR1
2	mouse	2	LINE	3	L1MdFanc_II
3	mouse	4	DNA	1	MER99
4	mouse	3	LTR	1	MMETn-int
5	mouse	3	LTR	1	RMER16-int
6	zebrafish	1	SINE	2	SINE3-1
7	mouse	2	LINE	3	Lx8
8	mouse	3	LTR	3	RLTR4_MM-int
9	mouse	3	LTR	1	MMERGLN-int
10	zebrafish	1	SINE	2	SINE3-1
11	mouse	4	DNA	0	Tigger18a
12	zebrafish	1	SINE	2	SINE3-1
13	mouse	2	LINE	3	L1MdF_V
14	mouse	2	LINE	3	L1MdV_I
15	zebrafish	1	SINE	2	SINE3-1a
16	mouse	4	DNA	0	Charlie1a
17	mouse	3	LTR	1	MMERVK9E_I
18	mouse	4	DNA	0	Charlie1b
19	zebrafish	1	SINE	2	SINE3-1a
20	zebrafish	1	SINE	2	SINE3-1
21	mouse	3	LTR	1	RMER17B
22	zebrafish	1	SINE	2	SINE3-1
23	mouse	4	DNA	0	BLACKJACK
24	zebrafish	1	SINE	2	SINE3-1
25	mouse	3	LTR	1	RMER13A
26	zebrafish	1	SINE	2	SINE3-1a
27	mouse	3	LTR	1	RLTR48A
28	mouse	2	LINE	3	L1MdF_IV
29	zebrafish	1	SINE	2	SINE3-1a
30	mouse	4	DNA	0	FordPrefect
31	mouse	3	LTR	1	MMERVK9C_I
32	mouse	4	DNA	0	RCHARR1
33	mouse	3	LTR	1	RLTR28
34	mouse	4	DNA	0	RCHARR1
35	zebrafish	1	SINE	2	SINE3-1a
36	mouse	4	DNA	0	Arthur1B
37	mouse	2	LINE	3	L1MdA_VI
38	mouse	4	DNA	0	RCHARR1
39	mouse	4	DNA	0	Charlie7
40	mouse	3	LTR	1	RLTR13E
41	zebrafish	1	SINE	2	SINE3-1
42	mouse	2	LINE	3	L1MB4
43	zebrafish	1	SINE	2	SINE3-1a
44	zebrafish	1	SINE	2	SINE3-1
45	mouse	3	LTR	1	RLTR45-int
46	mouse	4	DNA	0	Tigger17
47	mouse	2	LINE	3	L1MdV_III
48	zebrafish	1	SINE	2	SINE3-1
49	mouse	2	LINE	3	Lx8
50	mouse	4	DNA	0	Tigger1
51	mouse	3	LTR	1	RMER17B
52	mouse	2	LINE	3	L1MdFanc_I
53	mouse	2	LINE	3	Lx3A
54	zebrafish	1	SINE	2	SINE3-1a
55	zebrafish	1	SINE	2	SINE3-1
56	mouse	4	DNA	0	Charlie2b
57	zebrafish	1	SINE	2	SINE3-1a
58	mouse	3	LTR	1	ORR1C1
59	mouse	3	LTR	1	ETnERV2-int
60	mouse	4	DNA	0	FordPrefect
61	mouse	4	DNA	0	Arthur1
62	mouse	4	DNA	1	Tigger17a
63	mouse	2	LINE	3	L1MdV_I
64	mouse	3	LTR	1	RMER19C
65	mouse	3	LTR	1	RLTR4_MM-int
66	mouse	4	DNA	0	RCHARR1
67	zebrafish	1	SINE	2	SINE3-1a
68	mouse	3	LTR	1	RMER17A
69	zebrafish	1	SINE	2	SINE3-1
70	mouse	2	LINE	3	L1MdA_III
71	mouse	3	LTR	1	RMER13A2
72	mouse	2	LINE	3	Lx2
73	mouse	3	LTR	1	RLTR16B_MM
74	mouse	1	SINE	1	B4A
75	mouse	2	LINE	3	Lx8b
76	mouse	4	DNA	0	RCHARR1
77	mouse	3	LTR	1	RMER13B
78	mouse	3	LTR	1	RMER19B
79	zebrafish	1	SINE	2	SINE3-1
80	zebrafish	1	SINE	2	SINE3-1
81	mouse	3	LTR	1	RLTR12B
82	mouse	3	LTR	1	RMER15
83	mouse	4	DNA	0	RCHARR1
84	zebrafish	1	SINE	2	SINE3-1a
85	mouse	3	LTR	1	MTA_Mm
86	mouse	4	DNA	0	Eutr11
87	mouse	3	LTR	1	RMER17B2
88	mouse	2	LINE	3	L1MdF_III
89	zebrafish	1	SINE	2	SINE3-1a
90	mouse	3	LTR	1	RLTR13B4
91	zebrafish	1	SINE	2	SINE3-1
92	mouse	3	LTR	1	MERVL_2A-int
93	mouse	2	LINE	3	L1MdF_IV
94	mouse	3	LTR	1	MTD
95	mouse	4	DNA	1	Tigger1
96	mouse	3	LTR	1	RMER15-int
97	zebrafish	1	SINE	2	SINE3-1a
98	mouse	4	DNA	0	Tigger2b
99	mouse	3	LTR	1	MYSERV16_I
100	mouse	2	LINE	3	L1MdFanc_I
101	mouse	2	LINE	3	L1MD
102	mouse	3	LTR	1	RLTR26B_MM
103	zebrafish	1	SINE	2	SINE3-1a
104	mouse	2	LINE	3	Lx2
105	mouse	3	LTR	1	RLTR20B2
106	mouse	2	LINE	3	Lx2
107	zebrafish	1	SINE	2	SINE3-1
108	mouse	4	DNA	0	Tigger17a
109	zebrafish	1	SINE	2	SINE3-1
110	mouse	2	LINE	3	L1MdA_I
111	mouse	2	LINE	1	Lx4B
112	mouse	3	LTR	1	MTD
113	mouse	2	LINE	3	L1MdF_V
114	zebrafish	1	SINE	2	SINE3-1a
115	mouse	4	DNA	0	RCHARR1
116	mouse	4	DNA	0	MMAR1
117	mouse	4	DNA	0	Tigger1
118	zebrafish	1	SINE	2	SINE3-1
119	mouse	4	DNA	0	Charlie1a
120	mouse	3	LTR	1	RLTR1D
121	mouse	2	LINE	3	L1_Rod
122	mouse	2	LINE	3	L1MdFanc_I
123	mouse	3	LTR	1	ERVB4_1B-I_MM
124	mouse	2	LINE	3	L1Lx_II
125	zebrafish	1	SINE	2	SINE3-1a
126	mouse	2	LINE	3	L1MB4
127	mouse	2	LINE	3	L1MdA_III
128	mouse	2	LINE	3	L1MdMus_I
129	mouse	2	LINE	3	L1MdFanc_I
130	mouse	2	LINE	3	L1_Mur2
131	mouse	4	DNA	0	BLACKJACK
132	mouse	3	LTR	1	RLTR30E_MM
133	mouse	4	DNA	0	Charlie16
134	mouse	4	DNA	0	RCHARR1
135	mouse	4	DNA	0	RCHARR1
136	zebrafish	1	SINE	2	SINE3-1
137	mouse	3	LTR	1	RMER12C
138	mouse	4	DNA	0	Cheshire
139	mouse	2	LINE	3	L1MdF_V
140	mouse	2	LINE	3	Lx4A
141	mouse	2	LINE	3	L1MdA_IV
142	zebrafish	1	SINE	2	SINE3-1a
143	mouse	4	DNA	0	BLACKJACK
144	zebrafish	1	SINE	2	SINE3-1
145	zebrafish	1	SINE	2	SINE3-1
146	mouse	2	LINE	3	L1MdFanc_I
147	zebrafish	1	SINE	2	SINE3-1
148	zebrafish	1	SINE	2	SINE3-1a
149	zebrafish	1	SINE	2	SINE3-1a
150	mouse	2	LINE	3	Lx8
151	mouse	4	DNA	0	Tigger17a
