scope	chrom	baseline_bp	current_bp	shared_bp	baseline_only_bp	current_only_bp
all_repeat	chr1	86007358	85683050	85224367	782991	458683
all_repeat	chr10	55178721	54943424	54660629	518092	282795
all_repeat	chr11	47728602	47464110	47223246	505356	240864
all_repeat	chr12	50322476	50098231	49838381	484095	259850
all_repeat	chr13	50905678	50718870	50441001	464677	277869
all_repeat	chr14	52483101	52296932	52000668	482433	296264
all_repeat	chr15	42482492	42316934	42091428	391064	225506
all_repeat	chr16	40445920	40314493	40064433	381487	250060
all_repeat	chr17	40023203	39860561	39668490	354713	192071
all_repeat	chr18	37317441	37127922	36918314	399127	209608
all_repeat	chr19	23742621	23662345	23531115	211506	131230
all_repeat	chr2	74092619	73795273	73394289	698330	400984
all_repeat	chr3	71142755	70904631	70536668	606087	367963
all_repeat	chr4	68824982	68599094	68251073	573909	348021
all_repeat	chr5	63736012	63545650	63221973	514039	323677
all_repeat	chr6	64231451	63993792	63652842	578609	340950
all_repeat	chr7	66125465	65844530	65570630	554835	273900
all_repeat	chr8	52330139	52120605	51846422	483717	274183
all_repeat	chr9	51411959	51197051	50925419	486540	271632
all_repeat	chrM	528	495	495	33	0
all_repeat	chrX	95861688	95640532	95174217	687471	466315
all_repeat	chrY	50951222	50461425	50310841	640381	150584
known_te	chr1	79245556	78921965	78461302	784254	460663
known_te	chr10	50322053	50090784	49800427	521626	290357
known_te	chr11	43323639	43056576	42814163	509476	242413
known_te	chr12	46036070	45808564	45552676	483394	255888
known_te	chr13	46552600	46364721	46086089	466511	278632
known_te	chr14	48206373	48023216	47721597	484776	301619
known_te	chr15	38914475	38746404	38520184	394291	226220
known_te	chr16	36941594	36806954	36557732	383862	249222
known_te	chr17	36611236	36446696	36251143	360093	195553
known_te	chr18	34187778	34005528	33788463	399315	217065
known_te	chr19	21641985	21557308	21426012	215973	131296
known_te	chr2	67614160	67308680	66909212	704948	399468
known_te	chr3	65679855	65436740	65070171	609684	366569
known_te	chr4	63400183	63172732	62821525	578658	351207
known_te	chr5	57909124	57711706	57392022	517102	319684
known_te	chr6	58848370	58599878	58263149	585221	336729
known_te	chr7	61079878	60787252	60516871	563007	270381
known_te	chr8	47534231	47325653	47045314	488917	280339
known_te	chr9	46936418	46721667	46450754	485664	270913
known_te	chrM	0	0	0	0	0
known_te	chrX	90930552	90717701	90252607	677945	465094
known_te	chrY	45053032	45051317	44836143	216889	215174
potential_te	chr1	79321149	78993877	78530003	791146	463874
potential_te	chr10	50424173	50187768	49897791	526382	289977
potential_te	chr11	43388671	43115897	42871694	516977	244203
potential_te	chr12	46238398	46007971	45750893	487505	257078
potential_te	chr13	46802251	46612544	46331982	470269	280562
potential_te	chr14	48256047	48070780	47767832	488215	302948
potential_te	chr15	38948337	38779463	38550431	397906	229032
potential_te	chr16	36986446	36852281	36599478	386968	252803
potential_te	chr17	36700444	36532942	36337366	363078	195576
potential_te	chr18	34229839	34043579	33827781	402058	215798
potential_te	chr19	21676353	21591300	21458049	218304	133251
potential_te	chr2	67875167	67563924	67162030	713137	401894
potential_te	chr3	65742061	65496133	65127719	614342	368414
potential_te	chr4	63468422	63233674	62882044	586378	351630
potential_te	chr5	58019415	57819129	57496334	523081	322795
potential_te	chr6	58908763	58658940	58317819	590944	341121
potential_te	chr7	61184297	60888624	60615264	569033	273360
potential_te	chr8	47625539	47410938	47132420	493119	278518
potential_te	chr9	46999132	46780370	46506733	492399	273637
potential_te	chrM	0	0	0	0	0
potential_te	chrX	91050265	90828828	90365926	684339	462902
potential_te	chrY	46222371	46190867	46003955	218416	186912
