species_code	kingdom	role	chrom	chrom_size	te_bp_raw_sum	te_interval_count	te_fraction_raw_sum	selection_status	claim_eligible
african_clawed_frog	Animal	primary	chr1L	219802468	20793769	92900	0.094602	prelim_auto_largest_nonsex	no
african_clawed_frog	Animal	stability_check	chr2L	181146889	17797007	80348	0.098246	prelim_auto_largest_nonsex	no
african_malaria_mosquito	Animal	primary	chr2R	61545105	4175114	13660	0.067838	prelim_auto_largest_nonsex	no
african_malaria_mosquito	Animal	stability_check	chr3R	53200684	3986862	13337	0.074940	prelim_auto_largest_nonsex	no
c_briggsae	Animal	primary	NC_013491.2	21540570	3296231	14225	0.153024	prelim_auto_largest_nonsex	no
c_briggsae	Animal	stability_check	NC_013488.2	19495157	3445212	16781	0.176721	prelim_auto_largest_nonsex	no
c_elegans	Animal	primary	chrV	20924180	2458874	10616	0.117514	prelim_auto_largest_nonsex	no
c_elegans	Animal	stability_check	chrIV	17493829	1785168	7837	0.102046	prelim_auto_largest_nonsex	no
cattle	Animal	primary	chr1	158534110	78307200	292877	0.493945	prelim_auto_largest_nonsex	no
cattle	Animal	stability_check	chr2	136231102	65154063	251740	0.478261	prelim_auto_largest_nonsex	no
chicken	Animal	primary	chr1	197608386	25858552	71804	0.130858	prelim_auto_largest_nonsex	no
chicken	Animal	stability_check	chr2	149682049	16951496	49769	0.113250	prelim_auto_largest_nonsex	no
ciona	Animal	primary	chr1	10041005	1322783	9380	0.131738	prelim_auto_largest_nonsex	no
ciona	Animal	stability_check	chr2	7758925	789827	5223	0.101796	prelim_auto_largest_nonsex	no
dog	Animal	primary	chr1	122014068	46365859	186091	0.380004	prelim_auto_largest_nonsex	no
dog	Animal	stability_check	chr3	94329250	37369160	142583	0.396157	prelim_auto_largest_nonsex	no
drosophila_pseudoobscura	Animal	primary	chr2	30794189	285395	1736	0.009268	prelim_auto_largest_nonsex	no
drosophila_pseudoobscura	Animal	stability_check	chr3	19779522	150644	906	0.007616	prelim_auto_largest_nonsex	no
fruit_fly	Animal	primary	chr3R	32079331	4086441	6057	0.127385	prelim_auto_largest_nonsex	no
fruit_fly	Animal	stability_check	chr3L	28110227	4557677	7013	0.162136	prelim_auto_largest_nonsex	no
green_anole	Animal	primary	chr1	263920458	11777059	71851	0.044624	prelim_auto_largest_nonsex	no
green_anole	Animal	stability_check	chr3	204416410	9211907	54935	0.045064	prelim_auto_largest_nonsex	no
human	Animal	primary	chr1	248387328	113671629	387899	0.457639	prelim_auto_largest_nonsex	no
human	Animal	stability_check	chr2	242696752	113672013	361199	0.468371	prelim_auto_largest_nonsex	no
medaka	Animal	primary	chr1	39973033	559681	2909	0.014001	prelim_auto_largest_nonsex	no
medaka	Animal	stability_check	chr3	36623554	549433	2814	0.015002	prelim_auto_largest_nonsex	no
mouse	Animal	primary	chr1	195154279	80840586	264675	0.414239	prelim_auto_largest_nonsex	no
mouse	Animal	stability_check	chr2	181755017	69450581	253979	0.382111	prelim_auto_largest_nonsex	no
opossum	Animal	primary	chr1	748055161	0	0	0.000000	prelim_auto_largest_nonsex	no
opossum	Animal	stability_check	chr2	541556283	0	0	0.000000	prelim_auto_largest_nonsex	no
pig	Animal	primary	chr1	274330532	120524999	437158	0.439342	prelim_auto_largest_nonsex	no
pig	Animal	stability_check	chr13	208334590	92989814	337019	0.446348	prelim_auto_largest_nonsex	no
rat	Animal	primary	chr1	260522016	108060840	345363	0.414786	prelim_auto_largest_nonsex	no
rat	Animal	stability_check	chr2	249053267	110666308	293431	0.444348	prelim_auto_largest_nonsex	no
red_flour_beetle	Animal	primary	ChLG3	32080666	19710	142	0.000614	prelim_auto_largest_nonsex	no
red_flour_beetle	Animal	stability_check	ChLG5	18847211	6513	69	0.000346	prelim_auto_largest_nonsex	no
silkworm	Animal	primary	NC_051380.1	21465692	6089937	21600	0.283706	prelim_auto_largest_nonsex	no
silkworm	Animal	stability_check	NC_051358.1	20666287	4582737	15449	0.221749	prelim_auto_largest_nonsex	no
spotted_gar	Animal	primary	NC_023182.1	73198282	564	5	0.000008	prelim_auto_largest_nonsex	no
spotted_gar	Animal	stability_check	NC_023179.1	69065196	45	1	0.000001	prelim_auto_largest_nonsex	no
three_spined_stickleback	Animal	primary	chrUn	62550211	0	0	0.000000	prelim_auto_largest_nonsex	no
three_spined_stickleback	Animal	stability_check	chrIV	32632948	0	0	0.000000	prelim_auto_largest_nonsex	no
torafugu	Animal	primary	chr1	23260604	639648	2406	0.027499	prelim_auto_largest_nonsex	no
torafugu	Animal	stability_check	chr13	16952093	771059	2567	0.045485	prelim_auto_largest_nonsex	no
western_clawed_frog	Animal	primary	chr1	217471166	72497429	311019	0.333366	prelim_auto_largest_nonsex	no
western_clawed_frog	Animal	stability_check	chr2	181034961	59360470	259417	0.327895	prelim_auto_largest_nonsex	no
zebra_finch	Animal	primary	chr2	156412533	10284358	29423	0.065751	prelim_auto_largest_nonsex	no
zebra_finch	Animal	stability_check	chr1	118548696	8032768	24249	0.067759	prelim_auto_largest_nonsex	no
zebrafish	Animal	primary	chr4	78093715	35633135	110944	0.456287	prelim_auto_largest_nonsex	no
zebrafish	Animal	stability_check	chr7	74282399	35838235	138331	0.482459	prelim_auto_largest_nonsex	no
amborella	Plant	primary	AmTr_v1.0_scaffold00001	15980527	0	0	0.000000	prelim_auto_largest_nonsex	no
amborella	Plant	stability_check	AmTr_v1.0_scaffold00002	11522362	0	0	0.000000	prelim_auto_largest_nonsex	no
banana	Plant	primary	CAJGYN010000024.1	46622217	0	0	0.000000	prelim_auto_largest_nonsex	no
banana	Plant	stability_check	CAJGYN010000008.1	44889171	0	0	0.000000	prelim_auto_largest_nonsex	no
barley	Plant	primary	2H	665585731	0	0	0.000000	prelim_auto_largest_nonsex	no
barley	Plant	stability_check	7H	632540561	0	0	0.000000	prelim_auto_largest_nonsex	no
barrel_medic	Plant	primary	4	56582383	0	0	0.000000	prelim_auto_largest_nonsex	no
barrel_medic	Plant	stability_check	3	55515152	0	0	0.000000	prelim_auto_largest_nonsex	no
black_cottonwood	Plant	primary	1	49788581	24646203	67934	0.495017	prelim_auto_largest_nonsex	no
black_cottonwood	Plant	stability_check	6	27516652	11492512	37905	0.417657	prelim_auto_largest_nonsex	no
field_mustard	Plant	primary	A09	37120481	0	0	0.000000	prelim_auto_largest_nonsex	no
field_mustard	Plant	stability_check	A03	31715688	0	0	0.000000	prelim_auto_largest_nonsex	no
foxtail_millet	Plant	primary	IX	58970307	0	0	0.000000	prelim_auto_largest_nonsex	no
foxtail_millet	Plant	stability_check	III	50651951	0	0	0.000000	prelim_auto_largest_nonsex	no
grape	Plant	primary	CP126665.1	36684271	0	0	0.000000	prelim_auto_largest_nonsex	no
grape	Plant	stability_check	CP126654.1	31654362	0	0	0.000000	prelim_auto_largest_nonsex	no
longstamen_rice	Plant	primary	KN538681.1	1127032	0	0	0.000000	prelim_auto_largest_nonsex	no
longstamen_rice	Plant	stability_check	KN538682.1	1088094	0	0	0.000000	prelim_auto_largest_nonsex	no
maize	Plant	primary	1	308452471	370438929	228387	1.200960	prelim_auto_largest_nonsex	no
maize	Plant	stability_check	4	250330460	303438552	188473	1.212152	prelim_auto_largest_nonsex	no
marchantia	Plant	primary	2	33167028	0	0	0.000000	prelim_auto_largest_nonsex	no
marchantia	Plant	stability_check	4	31916942	0	0	0.000000	prelim_auto_largest_nonsex	no
pineapple	Plant	primary	contig3	17334668	0	0	0.000000	prelim_auto_largest_nonsex	no
pineapple	Plant	stability_check	contig4	16781886	0	0	0.000000	prelim_auto_largest_nonsex	no
purple_false_brome	Plant	primary	NC_016131.3	75071545	10810915	9789	0.144008	prelim_auto_largest_nonsex	no
purple_false_brome	Plant	stability_check	NC_016133.3	59640145	10008941	9252	0.167822	prelim_auto_largest_nonsex	no
raimond_cotton	Plant	primary	9	70713020	0	0	0.000000	prelim_auto_largest_nonsex	no
raimond_cotton	Plant	stability_check	5	64140413	0	0	0.000000	prelim_auto_largest_nonsex	no
rice	Plant	primary	1	43270923	51100794	118282	1.180950	prelim_auto_largest_nonsex	no
rice	Plant	stability_check	3	36413819	36558105	86131	1.003962	prelim_auto_largest_nonsex	no
sorghum	Plant	primary	NC_012870.2	80884392	39072066	52085	0.483061	prelim_auto_largest_nonsex	no
sorghum	Plant	stability_check	NC_012871.2	77742459	44788619	51000	0.576115	prelim_auto_largest_nonsex	no
soybean	Plant	primary	18	58018742	40784809	49290	0.702959	prelim_auto_largest_nonsex	no
soybean	Plant	stability_check	1	56831624	50540302	57911	0.889299	prelim_auto_largest_nonsex	no
spikemoss	Plant	primary	GL377565	6951972	0	0	0.000000	prelim_auto_largest_nonsex	no
spikemoss	Plant	stability_check	GL377566	6181961	0	0	0.000000	prelim_auto_largest_nonsex	no
spreading_earthmoss	Plant	primary	1	30242098	33222622	32876	1.098555	prelim_auto_largest_nonsex	no
spreading_earthmoss	Plant	stability_check	2	25998084	26380974	25872	1.014728	prelim_auto_largest_nonsex	no
thale_cress	Plant	primary	1	30427671	11763535	24165	0.386606	prelim_auto_largest_nonsex	no
thale_cress	Plant	stability_check	5	26975502	12142781	23061	0.450141	prelim_auto_largest_nonsex	no
tomato	Plant	primary	1	98455869	0	0	0.000000	prelim_auto_largest_nonsex	no
tomato	Plant	stability_check	9	72906345	0	0	0.000000	prelim_auto_largest_nonsex	no
zea_diploperennis_gigi	Plant	primary	chr1	294039681	364561647	316971	1.239838	prelim_auto_largest_nonsex	no
zea_diploperennis_gigi	Plant	stability_check	chr4	267378275	342192273	285191	1.279806	prelim_auto_largest_nonsex	no
aspergillus_fumigatus	Fungus	primary	Chr1_A_fumigatus_Af293	4918979	0	0	0.000000	prelim_auto_largest_nonsex	no
aspergillus_fumigatus	Fungus	stability_check	Chr2_A_fumigatus_Af293	4844372	0	0	0.000000	prelim_auto_largest_nonsex	no
batrachochytrium	Fungus	primary	NW_006281099.1	4429270	15212	314	0.003434	prelim_auto_largest_nonsex	no
batrachochytrium	Fungus	stability_check	NW_006281100.1	1838334	6245	149	0.003397	prelim_auto_largest_nonsex	no
botrytis	Fungus	primary	1	4109373	0	0	0.000000	prelim_auto_largest_nonsex	no
botrytis	Fungus	stability_check	2	3341473	0	0	0.000000	prelim_auto_largest_nonsex	no
candida	Fungus	primary	CP017623.1	3188341	9366	21	0.002938	prelim_auto_largest_nonsex	no
candida	Fungus	stability_check	CP017630.1	2286237	21013	32	0.009191	prelim_auto_largest_nonsex	no
cryptococcus	Fungus	primary	CP003820.1	2291499	36099	64	0.015753	prelim_auto_largest_nonsex	no
cryptococcus	Fungus	stability_check	CP003824.1	1814975	35980	83	0.019824	prelim_auto_largest_nonsex	no
fusarium_wilt_fungus	Fungus	primary	CM000589.1	6854980	103340	264	0.015075	prelim_auto_largest_nonsex	no
fusarium_wilt_fungus	Fungus	stability_check	CM000591.1	5634991	555413	1021	0.098565	prelim_auto_largest_nonsex	no
mucor	Fungus	primary	KE123896.1	664271	10423	273	0.015691	prelim_auto_largest_nonsex	no
mucor	Fungus	stability_check	KE123897.1	456675	9427	237	0.020643	prelim_auto_largest_nonsex	no
rhizophagus	Fungus	primary	NW_020269255.1	1375864	1591	7	0.001156	prelim_auto_largest_nonsex	no
rhizophagus	Fungus	stability_check	NW_020269256.1	1126064	0	0	0.000000	prelim_auto_largest_nonsex	no
rice_blast_fungus	Fungus	primary	NC_017850.1	8319966	844	3	0.000101	prelim_auto_largest_nonsex	no
rice_blast_fungus	Fungus	stability_check	NC_017844.1	7978604	469	2	0.000059	prelim_auto_largest_nonsex	no
stem_rust_fungus	Fungus	primary	NW_003526549.1	3081398	660560	1372	0.214370	prelim_auto_largest_nonsex	no
stem_rust_fungus	Fungus	stability_check	NW_003526551.1	2616274	524842	1005	0.200607	prelim_auto_largest_nonsex	no
wheat_scab_fungus	Fungus	primary	CM000574.1	11697295	89802	2217	0.007677	prelim_auto_largest_nonsex	no
wheat_scab_fungus	Fungus	stability_check	CM000575.1	8914601	53114	1300	0.005958	prelim_auto_largest_nonsex	no
zymoseptoria	Fungus	primary	1	6088797	0	0	0.000000	prelim_auto_largest_nonsex	no
zymoseptoria	Fungus	stability_check	2	3860111	0	0	0.000000	prelim_auto_largest_nonsex	no
