core_id	chrom	index	core_start	core_end	halo_start	halo_end
chr16:0	chr16	0	0	5000000	0	5100000
chr16:1	chr16	1	7000000	12000000	6900000	12100000
chr16:2	chr16	2	14000000	19000000	13900000	19100000
chr16:3	chr16	3	21000000	26000000	20900000	26100000
chr16:4	chr16	4	28000000	33000000	27900000	33100000
chr16:5	chr16	5	35000000	40000000	34900000	40100000
chr16:6	chr16	6	42000000	47000000	41900000	47100000
chr16:7	chr16	7	49000000	54000000	48900000	54100000
chr16:8	chr16	8	56000000	61000000	55900000	61100000
chr16:9	chr16	9	63000000	68000000	62900000	68100000
chr18:0	chr18	0	0	5000000	0	5100000
chr18:1	chr18	1	7000000	12000000	6900000	12100000
chr18:2	chr18	2	14000000	19000000	13900000	19100000
chr18:3	chr18	3	21000000	26000000	20900000	26100000
chr18:4	chr18	4	28000000	33000000	27900000	33100000
chr18:5	chr18	5	35000000	40000000	34900000	40100000
chr18:6	chr18	6	42000000	47000000	41900000	47100000
chr18:7	chr18	7	49000000	54000000	48900000	54100000
chr18:8	chr18	8	56000000	61000000	55900000	61100000
chr18:9	chr18	9	63000000	68000000	62900000	68100000
