species_code	kingdom	scientific_name	taxid	target_set	role_from_backup	priority_from_target_manifest	clade_group	genome_bp	annotation_status	has_te_interval_annotation	fasta_path	te_bed_path	repeats_bed_path	fasta_md5	source_label_regime	claim_eligible	claim_block_reason
african_clawed_frog	Animal	Xenopus laevis		animal_a_train_core	train	A1	amphibian	2718433805	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_clawed_frog/xenLae2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_clawed_frog/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_clawed_frog/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
african_malaria_mosquito	Animal	Anopheles gambiae		animal_a_train_core	train	A1	insect	264974304	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_malaria_mosquito/anoGam3.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_malaria_mosquito/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/african_malaria_mosquito/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
c_briggsae	Animal	Caenorhabditis briggsae		animal_a_train_core	train	A1	nematode	108384165	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_briggsae/GCF_000004555.2.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_briggsae/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_briggsae/rmsk_repeats.bed.gz	b3003f5fb21f151c51c7f2482bc4c034	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
c_elegans	Animal	Caenorhabditis elegans		animal_a_train_core	train	A1	nematode	100286401	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_elegans/ce11.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_elegans/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/c_elegans/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
cattle	Animal	Bos taurus		animal_a_train_core	train	A1	mammal	2715853792	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/cattle/bosTau9.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/cattle/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/cattle/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
chicken	Animal	Gallus gallus		animal_a_train_core	train	A1	bird	1065365425	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/chicken/galGal6.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/chicken/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/chicken/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
ciona	Animal	Ciona robusta		animal_a_train_core	train	A1	tunicate	115227500	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/ciona/ci3.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/ciona/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/ciona/rmsk_repeats.bed.gz	9d11a905d1e823281ef5ce010994aeac	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
dog	Animal	Canis lupus familiaris		animal_a_train_core	train	A1	mammal	2312802198	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/dog/canFam6.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/dog/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/dog/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
drosophila_pseudoobscura	Animal	Drosophila pseudoobscura		animal_a_train_core	train	A1	insect	152738921	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/drosophila_pseudoobscura/dp4.fa.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/drosophila_pseudoobscura/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/drosophila_pseudoobscura/rmsk_repeats.bed.gz	7f8d1a7a9bded925215af96d1fee17a5	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
fruit_fly	Animal	Drosophila melanogaster		animal_a_train_core	train	A1	insect	143726002	rmsk_te_with_class	True	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/fruit_fly/dm6.fa	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/fruit_fly/rmsk_te.bed.gz	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/.backup/data/genome_data/current_eukaryotes/animals/fruit_fly/rmsk_repeats.bed.gz	skipped_large_or_missing	external_ucsc_or_legacy_prelim	no	preliminary external labels; final claim requires self-run RepeatMasker+Dfam Label-A
