idx	species	label	label_name	cluster	rep_name
0	human	1	SINE	3	AluJo
1	human	4	DNA	0	MER1A
2	human	2	LINE	2	L1PA4
3	human	4	DNA	2	MER85
4	human	3	LTR	2	MER57B2
5	human	3	LTR	3	MLT1C2
6	human	1	SINE	1	AluSx
7	human	2	LINE	2	L1MEc
8	human	3	LTR	2	MSTD
9	human	3	LTR	3	MLT1C2
10	human	1	SINE	1	AluY
11	human	4	DNA	2	Arthur1
12	human	1	SINE	1	AluSq
13	human	2	LINE	2	L1MB5
14	human	2	LINE	3	L1MB5
15	human	1	SINE	1	AluSz
16	human	4	DNA	0	MER44B
17	human	3	LTR	3	LTR7B
18	human	4	DNA	0	MER45A
19	human	1	SINE	3	AluSx1
20	human	1	SINE	1	FLAM_C
21	human	3	LTR	3	MLT1A0
22	human	1	SINE	1	MIR
23	human	4	DNA	0	MER5B
24	human	1	SINE	1	AluSx1
25	human	3	LTR	3	MLT1F2
26	human	1	SINE	1	AluSq2
27	human	3	LTR	0	THE1B
28	human	2	LINE	2	L1M5
29	human	1	SINE	1	AluSc8
30	human	4	DNA	0	MER20
31	human	3	LTR	3	MLT1C2
32	human	4	DNA	3	Tigger2a
33	human	3	LTR	2	MER39B
34	human	4	DNA	3	MER45A
35	human	1	SINE	1	AluSq2
36	human	4	DNA	0	MER20
37	human	2	LINE	2	L1PA7
38	human	4	DNA	2	MER1A
39	human	4	DNA	0	MER20
40	human	3	LTR	3	LTR7B
41	human	1	SINE	1	AluSx
42	human	2	LINE	2	L1MD
43	human	1	SINE	1	AluY
44	human	1	SINE	0	AluJb
45	human	3	LTR	0	LTR2C
46	human	4	DNA	0	MER5B
47	human	2	LINE	3	L1M4
48	human	1	SINE	1	AluSc8
49	human	2	LINE	2	L1PA16
50	human	4	DNA	0	Charlie17b
51	human	3	LTR	2	MLT1D
52	human	2	LINE	2	L1M4
53	human	2	LINE	3	L1MB5
54	human	1	SINE	1	AluSx
55	human	1	SINE	1	AluSg4
56	human	4	DNA	0	MER20
57	human	1	SINE	1	AluSx
58	human	3	LTR	2	MLT1C2
59	human	3	LTR	3	LTR7B
60	human	4	DNA	0	MER5A1
61	human	4	DNA	0	MER1A
62	human	4	DNA	2	MER6C
63	human	2	LINE	0	L1MB5
64	human	3	LTR	2	MER41C
65	human	3	LTR	3	MLT2D
66	human	4	DNA	0	Arthur1
67	human	1	SINE	1	AluSg
68	human	3	LTR	2	LTR2C
69	human	1	SINE	1	AluSx
70	human	2	LINE	3	L1PA7
71	human	3	LTR	3	MLT1C2
72	human	2	LINE	2	L1MA8
73	human	3	LTR	0	MER41B
74	human	1	SINE	3	AluSg4
75	human	2	LINE	2	L1MB2
76	human	4	DNA	2	Tigger3c
77	human	3	LTR	3	MLT1C2
78	human	3	LTR	3	THE1D
79	human	1	SINE	1	AluJb
80	human	1	SINE	1	AluYa5
81	human	3	LTR	3	MLT2B1
82	human	3	LTR	3	LTR7Y
83	human	4	DNA	2	Tigger4b
84	human	1	SINE	1	AluY
85	human	3	LTR	3	MLT2B1
86	human	4	DNA	0	MER20
87	human	3	LTR	3	MLT1C2
88	human	2	LINE	2	L1PA8
89	human	1	SINE	1	AluYm1
90	human	3	LTR	0	MLT1C2
91	human	1	SINE	1	AluJr
92	human	3	LTR	0	MER67C
93	human	2	LINE	3	L1MB3
94	human	3	LTR	3	LTR7B
95	human	4	DNA	0	MER20
96	human	3	LTR	2	LTR7B
97	human	1	SINE	1	AluSc8
98	human	4	DNA	3	Tigger17a
99	human	3	LTR	2	MLT1C2
100	human	2	LINE	2	L1PA7
101	human	2	LINE	2	L1PA13
102	human	3	LTR	3	LTR12D
103	human	1	SINE	1	AluSx3
104	human	2	LINE	3	L1ME1
105	human	3	LTR	3	MLT1C2
106	human	2	LINE	2	L1MC5a
107	human	1	SINE	1	AluSx3
108	human	4	DNA	0	MER20
109	human	1	SINE	3	AluJo
110	human	2	LINE	3	L1MB8
111	human	2	LINE	1	L1MC1
112	human	3	LTR	3	MLT1C2
113	human	2	LINE	2	L1MB5
