species_code	chunk_index	chunk_id	records	chunk_bases	complete_marker	out_present	gff_present	tbl_present	masked_present	final_outputs_complete	missing_final_outputs	output_dir
opossum	1	opossum_chunk_00001_chr1	chr1	748055161	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00001_chr1
opossum	2	opossum_chunk_00002_chr2	chr2	541556283	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00002_chr2
opossum	3	opossum_chunk_00003_chr3	chr3	527952102	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00003_chr3
opossum	4	opossum_chunk_00004_chr4	chr4	435153693	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00004_chr4
opossum	5	opossum_chunk_00005_chr5	chr5	304825324	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00005_chr5
opossum	6	opossum_chunk_00006_chr6	chr6	292091736	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00006_chr6
opossum	7	opossum_chunk_00007_chr7	chr7	260857928	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00007_chr7
opossum	8	opossum_chunk_00008_chr8	chr8	312544902	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00008_chr8
opossum	9	opossum_chunk_00009_chrUn	chrUn	103241611	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00009_chrUn
opossum	10	opossum_chunk_00010_chrX	chrX	79335909	0	0	0	0	0	0	out,gff,tbl,masked	/srv/beegfs/scratch/shares/ds4dh/common/ab-initio-TE/software_outputs/repeatmasker_dfam/RMDFAM_STRESS_HUMAN_ASSEMBLIES_20260617/opossum/chunks/opossum_chunk_00010_chrX
