family	state	dfam_exact_name_record_count	dfam_ids	dfam_accessions	rm_entry_count_by_accession	rm_accessions	rm_names_by_accession	generated_fragment_rows	generated_raw_fragment_bp	generated_union_bp
5S_DM	matched	1	"[""DF000001529""]"	"[""DF000001529""]"	1	"[""DF000001529.3""]"	"[""5S_DM""]"	1319	175413	175413
Accord2_I	matched	1	"[""DF000001530""]"	"[""DF000001530""]"	1	"[""DF000001530.3""]"	"[""Accord2_I""]"	383	234875	234875
Accord2_LTR	matched	1	"[""DF000001531""]"	"[""DF000001531""]"	1	"[""DF000001531.3""]"	"[""Accord2_LTR""]"	476	81210	81210
Accord_I	matched	1	"[""DF000001532""]"	"[""DF000001532""]"	1	"[""DF000001532.4""]"	"[""Accord_I""]"	26	17152	17152
Accord_LTR	matched	1	"[""DF000001533""]"	"[""DF000001533""]"	1	"[""DF000001533.3""]"	"[""Accord_LTR""]"	145	49978	49978
Adoxo_Dros_I	matched	1	"[""DF003894083""]"	"[""DF003894083""]"	1	"[""DF003894083.2""]"	"[""Adoxo_Dros_I""]"	61	52048	52048
Adoxo_Dros_LTR	matched	1	"[""DF003894061""]"	"[""DF003894061""]"	1	"[""DF003894061.2""]"	"[""Adoxo_Dros_LTR""]"	85	20807	20807
BEL-6_DMel_I	matched	1	"[""DF003894078""]"	"[""DF003894078""]"	1	"[""DF003894078.2""]"	"[""BEL-6_DMel_I""]"	441	277201	277201
BEL-6_DMel_LTR	matched	1	"[""DF003894013""]"	"[""DF003894013""]"	1	"[""DF003894013.2""]"	"[""BEL-6_DMel_LTR""]"	356	85956	85956
BEL_I	matched	1	"[""DF000001541""]"	"[""DF000001541""]"	1	"[""DF000001541.4""]"	"[""BEL_I""]"	78	85652	85652
BEL_LTR	matched	1	"[""DF000001727""]"	"[""DF000001727""]"	1	"[""DF000001727.3""]"	"[""BEL_LTR""]"	212	65660	65660
BS	matched	1	"[""DF000001548""]"	"[""DF000001548""]"	1	"[""DF000001548.4""]"	"[""BS""]"	793	271023	271023
BS2	matched	1	"[""DF000001549""]"	"[""DF000001549""]"	1	"[""DF000001549.4""]"	"[""BS2""]"	628	475108	475108
BS2A_DM	matched	1	"[""DF003894027""]"	"[""DF003894027""]"	1	"[""DF003894027.2""]"	"[""BS2A_DM""]"	662	310363	310363
BS3_DM	matched	1	"[""DF000001550""]"	"[""DF000001550""]"	1	"[""DF000001550.4""]"	"[""BS3_DM""]"	946	399823	399823
BS4_DM	matched	1	"[""DF000001551""]"	"[""DF000001551""]"	1	"[""DF000001551.4""]"	"[""BS4_DM""]"	11	1898	1898
Baggins1	matched	1	"[""DF000001536""]"	"[""DF000001536""]"	1	"[""DF000001536.3""]"	"[""Baggins1""]"	1498	910617	910617
Bari-1	matched	1	"[""DF000001537""]"	"[""DF000001537""]"	1	"[""DF000001537.4""]"	"[""Bari-1""]"	389	48622	48622
Bari_DM	matched	1	"[""DF000001538""]"	"[""DF000001538""]"	1	"[""DF000001538.3""]"	"[""Bari_DM""]"	87	118764	118764
Bica_I	matched	1	"[""DF000001542""]"	"[""DF000001542""]"	1	"[""DF000001542.3""]"	"[""Bica_I""]"	54	49516	49516
Bica_LTR	matched	1	"[""DF000001543""]"	"[""DF000001543""]"	1	"[""DF000001543.3""]"	"[""Bica_LTR""]"	229	35252	35252
