idx	species	label	label_name	cluster	source	rep_name
0	human	7	L2	6	genomic_boundary	L2a
1	chicken	5	ERVL	0	genomic_boundary	ENS1-LTR
2	human	5	ERVL	0	genomic_boundary	HERV16-int
3	zebrafish	2	DNA	4	genomic_boundary	TDR8
4	chicken	1	CR1	6	genomic_boundary	CR1-C
5	human	7	L2	1	genomic_boundary	L2c
6	human	5	ERVL	0	genomic_boundary	MER77B
7	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
8	human	6	L1	7	genomic_boundary	L1ME3A
9	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR2
10	zebrafish	2	DNA	4	genomic_boundary	DNA-X-10_DR
11	zebrafish	2	DNA	5	genomic_boundary	TDR8
12	zebrafish	2	DNA	4	genomic_boundary	DNA9NNN1_DR
13	human	5	ERVL	5	genomic_boundary	MER68
14	human	7	L2	1	genomic_boundary	L2
15	zebrafish	2	DNA	4	genomic_boundary	DNAX-1_DR
16	mouse	4	ERVK	3	genomic_boundary	RLTR13C2
17	human	5	ERVL	0	genomic_boundary	MER21A
18	mouse	6	L1	7	genomic_boundary	L1MdFanc_II
19	zebrafish	7	L2	1	genomic_boundary	L2-5_DRe
20	human	6	L1	7	genomic_boundary	L1MB1
21	zebrafish	7	L2	1	genomic_boundary	L2-1_DR
22	mouse	6	L1	7	genomic_boundary	Lx8
23	western_clawed_frog	8	TcMar-Tc1	5	genomic_boundary	Tc1-1_Xt
24	mouse	4	ERVK	3	genomic_boundary	RMER17B2
25	mouse	3	ERV1	2	genomic_boundary	RLTR30D2_MM
26	mouse	4	ERVK	3	genomic_boundary	RLTR13B3
27	mouse	6	L1	7	genomic_boundary	Lx8
28	chicken	1	CR1	6	genomic_boundary	CR1-C2
29	zebrafish	8	TcMar-Tc1	5	genomic_boundary	DNA21TA1_DR
30	zebrafish	8	TcMar-Tc1	2	genomic_boundary	TC1DR2
31	zebrafish	8	TcMar-Tc1	5	genomic_boundary	DNA21TA1_DR
32	zebrafish	7	L2	1	genomic_boundary	L2-1_DR
33	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1a_Xt
34	human	7	L2	1	genomic_boundary	L2a
35	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TZF28B
36	mouse	6	L1	7	genomic_boundary	L1MdF_III
37	human	3	ERV1	2	genomic_boundary	MER41A
38	human	6	L1	7	genomic_boundary	L1MCa
39	mouse	5	ERVL	0	genomic_boundary	RMER15
40	chicken	1	CR1	6	genomic_boundary	CR1-Y1_Aves
41	human	5	ERVL	0	genomic_boundary	ERVL-B4-int
42	mouse	6	L1	7	genomic_boundary	L1MdA_VI
43	western_clawed_frog	8	TcMar-Tc1	5	genomic_boundary	Tc1-10_Xt
44	zebrafish	8	TcMar-Tc1	7	genomic_boundary	Tc1-8B_DR
45	zebrafish	2	DNA	4	genomic_boundary	DNA-X-11_DR
46	zebrafish	8	TcMar-Tc1	5	genomic_boundary	Mariner-N6_DR
47	human	5	ERVL	0	genomic_boundary	MER68-int
48	human	7	L2	1	genomic_boundary	L2a
49	zebrafish	7	L2	1	genomic_boundary	L2-2_DRe
50	human	3	ERV1	2	genomic_boundary	HERVH-int
51	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1b_Xt
52	zebrafish	2	DNA	4	genomic_boundary	TDR8
53	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
54	human	5	ERVL	0	genomic_boundary	ERVL-E-int
55	human	1	CR1	6	genomic_boundary	L3
56	human	3	ERV1	2	genomic_boundary	MER52-int
57	human	5	ERVL	0	genomic_boundary	MLT2B4
58	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TDR2
59	human	7	L2	1	genomic_boundary	L2
60	human	3	ERV1	2	genomic_boundary	MER41A
61	zebrafish	2	DNA	4	genomic_boundary	DNA25TWA2_DR
62	mouse	4	ERVK	3	genomic_boundary	RLTR13C3
63	chicken	1	CR1	6	genomic_boundary	CR1-D2
64	mouse	4	ERVK	0	genomic_boundary	RMER6C
65	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TDR2
66	zebrafish	8	TcMar-Tc1	5	genomic_boundary	Tc1-4_DR
67	human	7	L2	1	genomic_boundary	L2a
68	human	5	ERVL	0	genomic_boundary	LTR84b
69	human	7	L2	1	genomic_boundary	L2c
70	zebrafish	2	DNA	4	genomic_boundary	DNA25TWA1_DR
71	chicken	1	CR1	6	genomic_boundary	CR1-F2
72	mouse	4	ERVK	3	genomic_boundary	MLTR25A
73	mouse	6	L1	7	genomic_boundary	L1MdF_IV
74	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR2
75	western_clawed_frog	7	L2	1	genomic_boundary	L2-2_XT
76	human	6	L1	7	genomic_boundary	L1ME3B
77	human	6	L1	7	genomic_boundary	L1PA3
78	human	4	ERVK	3	genomic_boundary	LTR5_Hs
79	mouse	4	ERVK	3	genomic_boundary	MMERVK9C_I
80	zebrafish	2	DNA	4	genomic_boundary	DNA-TTAA0-3_DR
81	human	7	L2	1	genomic_boundary	L2a
82	human	7	L2	1	genomic_boundary	L2a
83	mouse	4	ERVK	2	genomic_boundary	ETnERV2-int
84	human	5	ERVL	5	genomic_boundary	ERVL-B4-int
85	human	3	ERV1	2	genomic_boundary	MER34C2
86	human	3	ERV1	2	genomic_boundary	MER72
87	zebrafish	2	DNA	4	genomic_boundary	TDR13B
88	zebrafish	2	DNA	4	genomic_boundary	TDR13
89	human	3	ERV1	2	genomic_boundary	MER51D
90	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR2
91	human	5	ERVL	0	genomic_boundary	HERVL-int
92	human	3	ERV1	2	genomic_boundary	PRIMA41-int
93	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
94	human	7	L2	1	genomic_boundary	L2a
95	zebrafish	2	DNA	4	genomic_boundary	DNA-2-4_DR
96	human	6	L1	7	genomic_boundary	L1MD2
97	human	6	L1	7	genomic_boundary	L1MB4
98	zebrafish	8	TcMar-Tc1	5	genomic_boundary	Tc1-7_DR
99	zebrafish	2	DNA	4	genomic_boundary	DNA9NNN1_DR
100	chicken	1	CR1	6	genomic_boundary	CR1-D2
101	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TDR2
102	zebrafish	2	DNA	4	genomic_boundary	DNAX-1_DR
103	chicken	1	CR1	6	genomic_boundary	CR1-X2
104	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR2
105	human	7	L2	1	genomic_boundary	L2a
106	zebrafish	2	DNA	4	genomic_boundary	DNA9NNN1_DR
107	human	3	ERV1	2	genomic_boundary	MER52D
108	human	5	ERVL	0	genomic_boundary	MER74A
109	human	5	ERVL	0	genomic_boundary	ERVL-E-int
110	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
111	human	3	ERV1	2	genomic_boundary	HERV15-int
112	zebrafish	2	DNA	4	genomic_boundary	DNA-6-N2_DR
113	human	3	ERV1	2	genomic_boundary	LTR12C
114	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
115	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1b_Xt
116	human	1	CR1	6	genomic_boundary	L3
117	chicken	1	CR1	6	genomic_boundary	CR1-F2
118	western_clawed_frog	1	CR1	1	genomic_boundary	CR1-2_XT
119	human	6	L1	7	genomic_boundary	L1ME3E
120	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
121	mouse	5	ERVL	0	genomic_boundary	MERVL-int
122	mouse	6	L1	7	genomic_boundary	L1MdF_IV
123	chicken	1	CR1	6	genomic_boundary	CR1-B2
124	mouse	6	L1	7	genomic_boundary	Lx8b
125	zebrafish	7	L2	1	genomic_boundary	L2-1_DR
126	chicken	5	ERVL	0	genomic_boundary	GGLTR3C2
127	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1b_Xt
128	western_clawed_frog	8	TcMar-Tc1	0	genomic_boundary	Tc1-1_Xt
129	chicken	5	ERVL	0	genomic_boundary	GGERVL-B-int
130	zebrafish	7	L2	1	genomic_boundary	L2-34_DR
131	mouse	4	ERVK	3	genomic_boundary	MYSERV16_I
132	mouse	4	ERVK	3	genomic_boundary	IAPLTR2a2_Mm
133	zebrafish	2	DNA	4	genomic_boundary	DNA-4-1_DR
134	mouse	3	ERV1	0	genomic_boundary	RMER21A
135	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1a_Xt
136	mouse	6	L1	7	genomic_boundary	Lx2
137	human	4	ERVK	3	genomic_boundary	LTR13_
138	western_clawed_frog	8	TcMar-Tc1	4	genomic_boundary	Tc1-2_Xt
139	human	3	ERV1	2	genomic_boundary	HERVH-int
140	chicken	1	CR1	0	genomic_boundary	CR1-Y4
141	western_clawed_frog	1	CR1	6	genomic_boundary	CR1-2_XT
142	chicken	1	CR1	6	genomic_boundary	CR1-C4
143	zebrafish	7	L2	1	genomic_boundary	L2-1_DR
144	human	3	ERV1	3	genomic_boundary	LTR12D
145	chicken	5	ERVL	0	genomic_boundary	GGLTR8A
146	chicken	5	ERVL	0	genomic_boundary	GGLTR3D
147	chicken	5	ERVL	0	genomic_boundary	GGLTR3C2
148	human	3	ERV1	2	genomic_boundary	HERV3-int
149	chicken	1	CR1	6	genomic_boundary	CR1-C3
150	chicken	5	ERVL	0	genomic_boundary	ENS1-LTR
151	mouse	6	L1	7	genomic_boundary	L1MdF_V
152	mouse	4	ERVK	3	genomic_boundary	ETnERV2-int
153	zebrafish	2	DNA	4	genomic_boundary	TDR23
154	zebrafish	2	DNA	4	genomic_boundary	DNA-2-15_DR
155	human	6	L1	7	genomic_boundary	L1MC5a
156	chicken	1	CR1	2	genomic_boundary	CR1-F
157	human	3	ERV1	2	genomic_boundary	MER50
158	zebrafish	2	DNA	4	genomic_boundary	DNA-8-3_DR
159	mouse	4	ERVK	3	genomic_boundary	RLTR13C1
160	zebrafish	8	TcMar-Tc1	5	genomic_boundary	DNA21TA1_DR
161	chicken	1	CR1	6	genomic_boundary	CR1-Y4
162	zebrafish	8	TcMar-Tc1	5	genomic_boundary	Tc1-4_DR
163	mouse	4	ERVK	3	genomic_boundary	IAPLTR3-int
164	mouse	6	L1	7	genomic_boundary	Lx5
165	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR2
166	zebrafish	2	DNA	4	genomic_boundary	TDR23
167	human	7	L2	1	genomic_boundary	L2b
168	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TDR1
169	zebrafish	2	DNA	4	genomic_boundary	DNA-3-2B_DR
170	chicken	1	CR1	6	genomic_boundary	CR1-C4
171	mouse	6	L1	7	genomic_boundary	L1MdF_IV
172	chicken	5	ERVL	0	genomic_boundary	GGLTR5B
173	mouse	4	ERVK	3	genomic_boundary	MYSERV6-int
174	mouse	6	L1	7	genomic_boundary	L1MdA_VII
175	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR2
176	chicken	1	CR1	6	genomic_boundary	CR1-C4
177	mouse	6	L1	7	genomic_boundary	Lx8b
178	zebrafish	2	DNA	4	genomic_boundary	HATN9_DR
179	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
180	mouse	4	ERVK	3	genomic_boundary	IAPLTR3-int
181	mouse	5	ERVL	0	genomic_boundary	MERVL-int
182	human	3	ERV1	2	genomic_boundary	LTR48B
183	human	3	ERV1	2	genomic_boundary	MER61-int
184	human	5	ERVL	0	genomic_boundary	MLT2B4
185	human	3	ERV1	2	genomic_boundary	MER72
186	mouse	6	L1	7	genomic_boundary	L1Lx_I
187	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1a_Xt
188	zebrafish	2	DNA	4	genomic_boundary	DNAX-1_DR
189	mouse	4	ERVK	3	genomic_boundary	RLTR13B1
190	zebrafish	8	TcMar-Tc1	5	genomic_boundary	Tc1-4_DR
191	zebrafish	2	DNA	4	genomic_boundary	DNA9NNN1_DR
192	zebrafish	7	L2	1	genomic_boundary	L2-14_DRe
193	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1b_Xt
194	zebrafish	2	DNA	4	genomic_boundary	DNA9NNN1_DR
195	mouse	4	ERVK	3	genomic_boundary	RMER17A
196	human	3	ERV1	2	genomic_boundary	MER61-int
197	human	3	ERV1	2	genomic_boundary	MER90a
198	chicken	1	CR1	6	genomic_boundary	CR1-D
199	human	5	ERVL	0	genomic_boundary	MER21C
200	human	5	ERVL	0	genomic_boundary	LTR41
201	c_elegans	2	DNA	4	genomic_boundary	NDNAX1_CE
202	mouse	6	L1	7	genomic_boundary	Lx3_Mus
203	human	3	ERV1	2	genomic_boundary	HERVH-int
204	mouse	4	ERVK	3	genomic_boundary	RLTR13C2
205	zebrafish	2	DNA	4	genomic_boundary	DNA-X-4_DR
206	human	4	ERVK	3	genomic_boundary	HERVK22-int
207	chicken	3	ERV1	2	genomic_boundary	GGLTR11-int
208	western_clawed_frog	8	TcMar-Tc1	5	genomic_boundary	Tc1-4_Xt
209	human	6	L1	7	genomic_boundary	L1PA6
210	human	3	ERV1	2	genomic_boundary	LTR75_1
211	mouse	4	ERVK	3	genomic_boundary	MMERVK9E_I
212	mouse	6	L1	7	genomic_boundary	Lx6
213	human	6	L1	7	genomic_boundary	L1MEc
214	mouse	6	L1	7	genomic_boundary	Lx3A
215	human	5	ERVL	0	genomic_boundary	LTR41
216	zebrafish	2	DNA	4	genomic_boundary	TDR8
217	mouse	4	ERVK	3	genomic_boundary	RLTR13A
218	human	3	ERV1	2	genomic_boundary	LTR8B
219	human	4	ERVK	3	genomic_boundary	MER11D
220	human	3	ERV1	2	genomic_boundary	MER4-int
221	western_clawed_frog	8	TcMar-Tc1	5	genomic_boundary	Tc1-10_Xt
222	human	5	ERVL	0	genomic_boundary	MER21B
223	mouse	5	ERVL	0	genomic_boundary	RMER15
224	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TDR2
225	western_clawed_frog	1	CR1	6	genomic_boundary	CR1-2_XT
226	mouse	6	L1	7	genomic_boundary	L1MdA_VII
227	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TZF28
228	mouse	4	ERVK	0	genomic_boundary	RLTR13B1
229	human	3	ERV1	2	genomic_boundary	HERVIP10F-int
230	human	6	L1	7	genomic_boundary	L1MA4A
231	mouse	4	ERVK	3	genomic_boundary	MYSERV16_I
232	human	6	L1	7	genomic_boundary	L1MEc
233	human	3	ERV1	2	genomic_boundary	MER50
234	zebrafish	2	DNA	4	genomic_boundary	TDR8D
235	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1a_Xt
236	mouse	3	ERV1	2	genomic_boundary	RLTR30D2_MM
237	chicken	1	CR1	6	genomic_boundary	CR1-Y4
238	human	3	ERV1	2	genomic_boundary	LTR49-int
239	mouse	6	L1	7	genomic_boundary	L1MdF_IV
240	zebrafish	2	DNA	4	genomic_boundary	DNA-2-6_DR
241	mouse	4	ERVK	3	genomic_boundary	RMER12
242	human	7	L2	2	genomic_boundary	L2a
243	mouse	6	L1	7	genomic_boundary	L1MdF_IV
244	human	3	ERV1	1	genomic_boundary	HERVH-int
245	zebrafish	7	L2	1	genomic_boundary	L2-2_DRe
246	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
247	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
248	mouse	4	ERVK	3	genomic_boundary	IAPEz-int
249	mouse	4	ERVK	3	genomic_boundary	RMER13B
250	human	4	ERVK	3	genomic_boundary	MER11C
251	zebrafish	2	DNA	4	genomic_boundary	DNA-3-2B_DR
252	chicken	1	CR1	6	genomic_boundary	CR1-X2
253	western_clawed_frog	1	CR1	6	genomic_boundary	CR1_1b_Xt
254	human	3	ERV1	2	genomic_boundary	LTR12C
255	mouse	4	ERVK	3	genomic_boundary	RLTR22_Mur
256	human	3	ERV1	2	genomic_boundary	MER41E
257	zebrafish	2	DNA	4	genomic_boundary	DNA-1-11_DR
258	human	3	ERV1	2	genomic_boundary	LTR8B
259	human	3	ERV1	2	genomic_boundary	MER61-int
260	mouse	6	L1	7	genomic_boundary	Lx2
261	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
262	mouse	3	ERV1	2	genomic_boundary	RMER5
263	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
264	mouse	1	CR1	6	genomic_boundary	L3
265	zebrafish	2	DNA	4	genomic_boundary	DNA25TWA1_DR
266	western_clawed_frog	7	L2	1	genomic_boundary	L2-2_XT
267	zebrafish	8	TcMar-Tc1	5	genomic_boundary	Tc1-7_DR
268	mouse	6	L1	1	genomic_boundary	L1MA8
269	mouse	6	L1	7	genomic_boundary	L1MdF_IV
270	human	3	ERV1	2	genomic_boundary	LTR8
271	human	7	L2	1	genomic_boundary	L2a
272	mouse	4	ERVK	3	genomic_boundary	IAPLTR2a2_Mm
273	zebrafish	2	DNA	4	genomic_boundary	TDR13
274	chicken	1	CR1	6	genomic_boundary	CR1-H
275	zebrafish	2	DNA	4	genomic_boundary	DNA-1-11_DR
276	zebrafish	2	DNA	4	genomic_boundary	DNA-2-6_DR
277	chicken	1	CR1	6	genomic_boundary	CR1-11_Crp
278	mouse	6	L1	7	genomic_boundary	L1MdTf_II
279	zebrafish	2	DNA	4	genomic_boundary	DNA-AT-2_DR
280	human	7	L2	1	genomic_boundary	L2b
281	human	3	ERV1	2	genomic_boundary	LTR49-int
282	human	1	CR1	6	genomic_boundary	L3
283	zebrafish	7	L2	1	genomic_boundary	L2-2_DRe
284	human	7	L2	6	genomic_boundary	L2
285	human	7	L2	1	genomic_boundary	L2a
286	chicken	1	CR1	6	genomic_boundary	CR1-H
287	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TC1DR3
288	human	6	L1	7	genomic_boundary	L1M1
289	mouse	4	ERVK	3	genomic_boundary	MLTR31A_MM
290	human	6	L1	7	genomic_boundary	L1M5
291	zebrafish	2	DNA	4	genomic_boundary	DNA-1-11_DR
292	mouse	4	ERVK	3	genomic_boundary	RMER19C
293	human	5	ERVL	0	genomic_boundary	MER76
294	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TZF28B
295	chicken	1	CR1	6	genomic_boundary	CR1-C
296	zebrafish	2	DNA	4	genomic_boundary	HATN9_DR
297	human	3	ERV1	2	genomic_boundary	MER51-int
298	human	3	ERV1	2	genomic_boundary	HERVH-int
299	zebrafish	2	DNA	4	genomic_boundary	DNA9NNN1_DR
300	human	3	ERV1	2	genomic_boundary	MER92-int
301	mouse	4	ERVK	3	genomic_boundary	MMERVK9C_I
302	zebrafish	8	TcMar-Tc1	5	genomic_boundary	TZF28B
303	zebrafish	2	DNA	4	genomic_boundary	TE-X-1_DR
