idx	species	label	label_name	cluster	source	rep_name
0	rice	6	SINE	5	known_main4	k_22
1	rice	6	SINE	3	known_main4	ORSiTEMT01100011
2	rice	6	SINE	4	known_main4	ORSiTEMT01100011
3	human	4	LINE	0	known_main4	L1PA16
4	human	4	LINE	5	known_main4	L1ME3E
5	human	4	LINE	0	known_main4	L1PA10
6	human	7	Unknown	4	unknown_annotation	REP522
7	human	5	LTR	5	known_main4	MLT1F
8	human	2	DNA	1	known_main4	Tigger1
9	rice	6	SINE	4	known_main4	ORSiTEMT01100011
10	rice	6	SINE	4	known_main4	ORSiTEMT01100014
11	human	4	LINE	0	known_main4	L1P3
12	rice	6	SINE	4	known_main4	k_22
13	rice	6	SINE	3	known_main4	ORSiTEMT01100014
14	human	7	Unknown	2	unknown_annotation	SVA_B
15	human	4	LINE	3	known_main4	L2a
16	rice	6	SINE	3	known_main4	ORSiTEMT01100012
17	human	5	LTR	0	known_main4	MLT1D
18	human	5	LTR	5	known_main4	THE1C-int
19	human	5	LTR	5	known_main4	LTR39
20	human	4	LINE	0	known_main4	L1PA3
21	human	5	LTR	3	known_main4	LTR5A
22	rice	6	SINE	6	known_main4	ORSiTERT004_797273
23	rice	6	SINE	4	known_main4	ORSiTEMT01100011
24	rice	6	SINE	3	known_main4	k_24
25	human	7	Unknown	2	unknown_annotation	SVA_F
26	human	2	DNA	5	known_main4	Charlie1a
27	human	7	Unknown	2	unknown_annotation	SVA_D
28	human	5	LTR	6	known_main4	HUERS-P3b-int
29	human	2	DNA	6	known_main4	Tigger1
30	rice	6	SINE	3	known_main4	ORSiTEMT01100011
31	rice	6	SINE	4	known_main4	k_22
32	human	4	LINE	0	known_main4	L1PA15
33	human	2	DNA	5	known_main4	Ricksha_c
34	human	7	Unknown	2	unknown_annotation	SVA_D
35	human	7	Unknown	2	unknown_annotation	SVA_D
36	human	5	LTR	1	known_main4	LTR76
37	human	2	DNA	6	known_main4	Tigger1
38	human	2	DNA	6	known_main4	Charlie9
39	human	4	LINE	0	known_main4	L1PB1
40	rice	6	SINE	4	known_main4	ORSiTEMT01100014
41	human	2	DNA	6	known_main4	EuthAT-2
42	human	7	Unknown	2	unknown_annotation	SVA_C
43	rice	6	SINE	4	known_main4	g_PSINE1_GLA
44	human	7	Unknown	5	unknown_annotation	REP522
45	human	4	LINE	0	known_main4	L1M4
46	human	5	LTR	3	known_main4	THE1C-int
47	human	7	Unknown	2	unknown_annotation	SVA_D
48	human	2	DNA	5	known_main4	Tigger1
49	rice	6	SINE	4	known_main4	k_22
50	human	7	Unknown	2	unknown_annotation	SVA_F
51	human	4	LINE	0	known_main4	L1P4a
52	rice	6	SINE	3	known_main4	g_PSINE1_GLA
53	human	5	LTR	4	known_main4	LTR62
54	rice	6	SINE	6	known_main4	ORSiTEMT01100008
55	rice	6	SINE	3	known_main4	ORSiTERT004_783775
56	human	2	DNA	6	known_main4	Tigger1
57	human	4	LINE	0	known_main4	L1MA7
58	human	7	Unknown	2	unknown_annotation	SVA_D
59	human	5	LTR	2	known_main4	MLT2A2
60	rice	6	SINE	4	known_main4	ORSiTEMT01100009
61	human	4	LINE	0	known_main4	L1MEg
62	human	5	LTR	3	known_main4	MER39B
63	rice	6	SINE	3	known_main4	ORSiTEMT01100011
64	human	7	Unknown	2	unknown_annotation	SVA_D
65	human	4	LINE	0	known_main4	L1MEd
66	human	7	Unknown	2	unknown_annotation	SVA_B
67	rice	6	SINE	0	known_main4	g_PSINE1_GLA
68	human	5	LTR	4	known_main4	HERV17-int
69	rice	6	SINE	4	known_main4	k_22
70	human	5	LTR	5	known_main4	MER11C
71	human	4	LINE	0	known_main4	L1ME3F
72	rice	6	SINE	4	known_main4	g_PSINE1_GLA
73	human	5	LTR	3	known_main4	HERVH-int
74	rice	6	SINE	4	known_main4	k_22
75	rice	6	SINE	4	known_main4	k_22
76	human	5	LTR	5	known_main4	LTR40a
77	human	2	DNA	5	known_main4	MER44B
78	rice	6	SINE	3	known_main4	k_22
79	human	4	LINE	0	known_main4	L1PA10
80	human	7	Unknown	2	unknown_annotation	SVA_D
81	human	2	DNA	6	known_main4	Charlie1a
82	rice	6	SINE	4	known_main4	ORSiTEMT01100011
83	human	5	LTR	5	known_main4	LTR27B
84	human	4	LINE	0	known_main4	L1PB1
85	human	7	Unknown	2	unknown_annotation	REP522
86	human	7	Unknown	2	unknown_annotation	SVA_A
87	human	7	Unknown	2	unknown_annotation	SVA_D
88	human	7	Unknown	0	unknown_annotation	Eutr5
89	rice	6	SINE	3	known_main4	ORSiTEMT01100008
90	human	5	LTR	5	known_main4	LTR14B
91	human	4	LINE	0	known_main4	L1PA5
92	human	5	LTR	3	known_main4	MER4E
93	human	5	LTR	3	known_main4	MER41B
94	rice	6	SINE	4	known_main4	ORSiTEMT01100010
95	human	7	Unknown	2	unknown_annotation	SVA_D
96	human	7	Unknown	2	unknown_annotation	SVA_D
97	human	4	LINE	0	known_main4	L1PA2
98	human	2	DNA	1	known_main4	EuthAT-2
99	human	4	LINE	0	known_main4	L1PA7
100	human	7	Unknown	2	unknown_annotation	SVA_B
101	human	4	LINE	0	known_main4	L1PA6
102	human	5	LTR	3	known_main4	MLT2B3
103	human	7	Unknown	2	unknown_annotation	SVA_A
104	human	5	LTR	3	known_main4	MER39B
105	rice	6	SINE	3	known_main4	ORSiTEMT01100008
106	rice	6	SINE	1	known_main4	ORSiTERT004_797356
107	human	7	Unknown	2	unknown_annotation	SVA_F
108	human	7	Unknown	2	unknown_annotation	SVA_D
109	human	5	LTR	3	known_main4	MER4B
110	human	4	LINE	0	known_main4	L1MA4
111	rice	6	SINE	0	known_main4	k_22
112	human	7	Unknown	2	unknown_annotation	SVA_D
113	human	4	LINE	0	known_main4	L1MCa
114	human	4	LINE	0	known_main4	L1M5
115	human	5	LTR	3	known_main4	MER41B
116	human	4	LINE	3	known_main4	L1MB4
117	human	5	LTR	3	known_main4	THE1A-int
118	human	2	DNA	6	known_main4	Kanga2_a
119	human	7	Unknown	2	unknown_annotation	SVA_E
120	human	2	DNA	5	known_main4	Tigger2
121	rice	6	SINE	4	known_main4	k_22
122	human	7	Unknown	2	unknown_annotation	SVA_C
123	human	7	Unknown	2	unknown_annotation	REP522
124	human	2	DNA	3	known_main4	MER1A
125	rice	6	SINE	4	known_main4	CASINE
126	human	4	LINE	0	known_main4	L1PA7
127	human	4	LINE	4	known_main4	L2a
128	human	2	DNA	6	known_main4	Tigger22N1
129	rice	6	SINE	2	known_main4	ORSiTEMT01100014
130	human	2	DNA	5	known_main4	Arthur1
131	human	2	DNA	6	known_main4	MER1A
132	rice	6	SINE	6	known_main4	k_22
133	human	7	Unknown	2	unknown_annotation	SVA_D
134	human	2	DNA	5	known_main4	Tigger2
135	human	4	LINE	0	known_main4	L1ME3D
136	human	2	DNA	6	known_main4	Tigger22N1
137	human	7	Unknown	2	unknown_annotation	SVA_D
138	human	4	LINE	0	known_main4	L1PA13
139	rice	6	SINE	6	known_main4	k_22
140	human	2	DNA	6	known_main4	Charlie13a
141	human	5	LTR	5	known_main4	MER4E1
142	human	2	DNA	6	known_main4	Tigger1
143	human	2	DNA	6	known_main4	Charlie2b
144	rice	6	SINE	4	known_main4	ORSiTEMT01100008
145	human	2	DNA	5	known_main4	MER1A
146	human	2	DNA	6	known_main4	Tigger3
147	human	2	DNA	6	known_main4	Tigger8
148	human	7	Unknown	2	unknown_annotation	SVA_B
149	human	7	Unknown	2	unknown_annotation	SVA_F
150	rice	6	SINE	3	known_main4	ORSiTEMT01100012
151	human	2	DNA	0	known_main4	Tigger1
152	human	4	LINE	0	known_main4	L3
153	human	5	LTR	3	known_main4	MER68
154	human	2	DNA	5	known_main4	HSMAR2
155	rice	6	SINE	3	known_main4	ORSiTEMT01100011
156	human	7	Unknown	2	unknown_annotation	SVA_C
157	human	5	LTR	4	known_main4	LTR8
158	rice	6	SINE	3	known_main4	ORSiTEMT01100014
159	rice	6	SINE	4	known_main4	ORSiTEMT01100008
160	human	7	Unknown	2	unknown_annotation	SVA_B
161	human	7	Unknown	2	unknown_annotation	SVA_F
162	human	5	LTR	3	known_main4	LTR38B
163	human	2	DNA	3	known_main4	MER45B
164	human	4	LINE	5	known_main4	L1MEg
165	rice	6	SINE	4	known_main4	ORSiTEMT01100011
166	human	4	LINE	0	known_main4	L1MA4A
167	rice	6	SINE	4	known_main4	ORSiTEMT01100008
168	human	4	LINE	0	known_main4	L1ME1
169	human	2	DNA	5	known_main4	Tigger3c
170	rice	6	SINE	3	known_main4	ORSiTEMT01100011
171	human	7	Unknown	2	unknown_annotation	SVA_D
172	human	4	LINE	0	known_main4	L1MEf
173	rice	6	SINE	4	known_main4	ORSiTEMT01100008
174	human	2	DNA	4	known_main4	Tigger1
175	human	7	Unknown	2	unknown_annotation	SVA_B
176	human	7	Unknown	2	unknown_annotation	SVA_E
177	human	7	Unknown	2	unknown_annotation	SVA_D
178	human	5	LTR	3	known_main4	MER21A
179	rice	6	SINE	4	known_main4	g_PSINE1_GLA
180	human	2	DNA	5	known_main4	Tigger9b
181	rice	6	SINE	4	known_main4	k_22
182	human	5	LTR	3	known_main4	MER41C
183	human	5	LTR	5	known_main4	MLT1E1
184	human	5	LTR	5	known_main4	LTR10C
185	human	2	DNA	5	known_main4	Tigger1
186	human	7	Unknown	5	unknown_annotation	MamRep605b
187	human	7	Unknown	2	unknown_annotation	SVA_C
188	human	7	Unknown	2	unknown_annotation	SVA_A
189	human	5	LTR	3	known_main4	MLT1L
190	human	4	LINE	0	known_main4	L1M3
191	human	5	LTR	3	known_main4	HERVH-int
192	human	2	DNA	6	known_main4	Tigger17a
193	human	5	LTR	4	known_main4	MER52A
194	human	5	LTR	3	known_main4	LTR10C
195	rice	6	SINE	4	known_main4	ORSiTEMT01100011
196	human	2	DNA	5	known_main4	MER44B
197	rice	6	SINE	0	known_main4	ORMOSIA
198	human	7	Unknown	2	unknown_annotation	SVA_C
199	human	5	LTR	4	known_main4	MER41A
200	human	4	LINE	3	known_main4	L1MB5
201	human	5	LTR	1	known_main4	HUERS-P1-int
202	human	7	Unknown	5	unknown_annotation	MamRep1151
203	human	4	LINE	0	known_main4	L1MEd
204	rice	6	SINE	4	known_main4	k_22
205	human	4	LINE	4	known_main4	L1PA2
206	rice	6	SINE	4	known_main4	ORSiTEMT01100014
207	human	2	DNA	5	known_main4	Tigger1
208	human	4	LINE	3	known_main4	L1MB4
209	human	5	LTR	3	known_main4	LTR1D1
210	human	5	LTR	3	known_main4	MLT1F2
211	human	7	Unknown	2	unknown_annotation	SVA_E
212	human	5	LTR	2	known_main4	LTR5A
213	human	7	Unknown	2	unknown_annotation	SVA_B
214	rice	6	SINE	6	known_main4	k_22
215	human	2	DNA	0	known_main4	Tigger1
216	human	4	LINE	3	known_main4	L1MC5
217	rice	6	SINE	4	known_main4	g_PSINE1_GLA
218	rice	6	SINE	4	known_main4	k_22
219	human	4	LINE	0	known_main4	L1PA17
220	rice	6	SINE	4	known_main4	k_22
221	human	5	LTR	5	known_main4	MLT2B4
