method	record_id	host_id	host_locus	source_copy_id	homology_component_id	true_family	top_family	top_score	threshold	accepted	correct
kmer6_l2_supcon	interval|hg38|chr13|61060225|61060586|-|1085518	human:hg38	chr13	coord|human:hg38|chr13|61060225|61060586|-|1085518	hc|0198	AluJb	AluJb	0.5592739582	0.5385669469833374	1	1
kmer6_l2_supcon	interval|hg38|chr1|13746501|13746853|-|22298	human:hg38	chr1	coord|human:hg38|chr1|13746501|13746853|-|22298	hc|0200	AluJb	AluJb	0.4746543765	0.5385669469833374	0	1
kmer6_l2_supcon	interval|hg38|chr1|204583666|204584007|+|310906	human:hg38	chr1	coord|human:hg38|chr1|204583666|204584007|+|310906	hc|0201	AluJb	AluJb	0.5348361731	0.5385669469833374	0	1
kmer6_l2_supcon	interval|hg38|chr11|111559418|111559757|-|759912	human:hg38	chr11	coord|human:hg38|chr11|111559418|111559757|-|759912	hc|0206	AluJb	AluJb	0.6167868376	0.5385669469833374	1	1
kmer6_l2_supcon	interval|hg38|chr13|104776246|104776583|-|1143493	human:hg38	chr13	coord|human:hg38|chr13|104776246|104776583|-|1143493	hc|0209	AluJb	AluJr	0.5311579704	0.5385669469833374	0	0
kmer6_l2_supcon	interval|hg38|chr11|9471897|9472228|-|600438	human:hg38	chr11	coord|human:hg38|chr11|9471897|9472228|-|600438	hc|0217	AluJb	AluJb	0.6706844568	0.5385669469833374	1	1
kmer6_l2_supcon	interval|hg38|chr1|28499446|28499775|-|55882	human:hg38	chr1	coord|human:hg38|chr1|28499446|28499775|-|55882	hc|0223	AluJb	AluJo	0.5489020348	0.5385669469833374	1	0
kmer6_l2_supcon	interval|hg38|chr1|10190176|10190505|-|15467	human:hg38	chr1	coord|human:hg38|chr1|10190176|10190505|-|15467	hc|0224	AluJb	AluJr	0.6692539454	0.5385669469833374	1	0
kmer6_l2_supcon	interval|hg38|chr13|66512789|66513117|-|1092167	human:hg38	chr13	coord|human:hg38|chr13|66512789|66513117|-|1092167	hc|0228	AluJb	AluJb	0.6592162251	0.5385669469833374	1	1
kmer6_l2_supcon	interval|hg38|chr1|12681220|12681548|-|20481	human:hg38	chr1	coord|human:hg38|chr1|12681220|12681548|-|20481	hc|0229	AluJb	AluJr	0.6569855213	0.5385669469833374	1	0
kmer6_l2_supcon	interval|hg38|chr1|28994633|28994959|-|57285	human:hg38	chr1	coord|human:hg38|chr1|28994633|28994959|-|57285	hc|0234	AluJb	AluJo	0.5335105062	0.5385669469833374	0	0
kmer6_l2_supcon	interval|hg38|chr1|21917149|21917494|+|39669	human:hg38	chr1	coord|human:hg38|chr1|21917149|21917494|+|39669	hc|0429	AluJo	AluJb	0.5690917969	0.5385669469833374	1	0
kmer6_l2_supcon	interval|hg38|chr11|83108441|83108783|-|717560	human:hg38	chr11	coord|human:hg38|chr11|83108441|83108783|-|717560	hc|0432	AluJo	FLAM_C	0.6016804576	0.5385669469833374	1	0
kmer6_l2_supcon	interval|hg38|chr11|20525408|20525749|-|619259	human:hg38	chr11	coord|human:hg38|chr11|20525408|20525749|-|619259	hc|0433	AluJo	AluJr	0.4964466095	0.5385669469833374	0	0
